review_notes,cause,cur_match_en,match_en,quality,class,label,google_translate_to_en,en_osa,en_dl,en_qgram,en_cos,en_jaccard,compare_en,clase,etiqueta,google_translate_to_es,compare_es
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050588,muscular dystrophy-dystroglycanopathy type B1,muscular dystrophy-dystroglycanopathy type B1,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050588,distrofia muscular-distroglicanopatía tipo B1,distrofia muscular-distroglicanopatía tipo B1,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0112375,muscular dystrophy-dystroglycanopathy type B,muscular dystrophy-dystroglycanopathy type B,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0112375,distrofia-distroglicanopatía muscular tipo B,distrofia muscular-distroglicanopatía tipo B,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050590,severe congenital neutropenia,severe congenital neutropenia,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050590,neutropenia congénita grave,neutropenia congénita grave,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050593,primary congenital glaucoma,primary congenital glaucoma,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050593,glaucoma congénito primario,glaucoma congénito primario,exact
,TCG,error,,1,http://purl.obolibrary.org/obo/DOID_0050651,atrioventricular septal defect,atrial septal defect,0.6333333333333333,0.6333333333333333,0.8,0.932744804,0.75,,http://purl.obolibrary.org/obo/DOID_0050651,comunicación interauricular,defecto del tabique auriculoventricular,
,,meaning,,4,http://purl.obolibrary.org/obo/DOID_1681,heart septal defect,cardiac septal defect,0.7142857142857143,0.7142857142857143,0.8,0.8846783746414657,0.8461538461538461,,http://purl.obolibrary.org/obo/DOID_1681,defecto septal cardíaco,defecto del tabique cardíaco,
"Bethlehem myopathy rare in Google search, appears to be used in error (example: https://www.ncbi.nlm.nih.gov/books/NBK558956/)",google to en,error,,1,http://purl.obolibrary.org/obo/DOID_0050663,Bethlem myopathy,Bethlehem myopathy,0.8888888888888888,0.8888888888888888,0.9411764705882352,0.9805806756909202,1,,http://purl.obolibrary.org/obo/DOID_0050663,miopatía de Bethlem,Miopatía de Bethlem,exact
,,order,,5,http://purl.obolibrary.org/obo/DOID_0050674,congenital bile acid synthesis defect,congenital defect of bile acid synthesis,0.575,0.575,0.961038961,0.989325264,1,,http://purl.obolibrary.org/obo/DOID_0050674,defecto congénito de la síntesis de ácidos biliares,defecto congénito de la síntesis de ácidos biliares,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050734,congenital intrinsic factor deficiency,congenital intrinsic factor deficiency,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050734,deficiencia congénita del factor intrínseco,deficiencia congénita del factor intrínseco,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_10907,microcephaly,microcephaly,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_10907,microcefalia,microcefalia,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050811,congenital adrenal hyperplasia,congenital adrenal hyperplasia,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050811,hiperplasia suprarrenal congénita,hiperplasia suprarrenal congénita,exact
,google to en,,case,5,http://purl.obolibrary.org/obo/DOID_0050813,spondyloepiphyseal dysplasia with congenital joint dislocations,Spondyloepiphyseal dysplasia with congenital joint dislocations,0.9841269841269842,0.9841269841269842,0.9841269841269842,0.9966558162963368,0.9444444444444444,exact,http://purl.obolibrary.org/obo/DOID_0050813,displasia espondiloepifisaria con luxaciones articulares congénitas,displasia espondiloepifisaria con luxaciones articulares congénitas,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060259,renal-hepatic-pancreatic dysplasia,renal-hepatic-pancreatic dysplasia,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060259,displasia renal-hepática-pancreática,displasia renal-hepática-pancreática,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060261,congenital ptosis,congenital ptosis,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060261,ptosis congénita,ptosis congénita,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060285,parietal foramina,parietal foramina,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060285,forámenes parietales,agujeros parietales,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0080074,neural tube defect,neural tube defect,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0080074,defecto del tubo neural,defecto del tubo neural,exact
,,order only,,5,http://purl.obolibrary.org/obo/DOID_0060296,congenital secretory chloride diarrhea 1,congenital chloride secretory diarrhea 1,0.6,0.6,1,1,1,,http://purl.obolibrary.org/obo/DOID_0060296,diarrea secretoria congénita de cloruro 1,diarrea congénita secretora de cloruro 1,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060326,myelomeningocele,myelomeningocele,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060326,mielomeningocele,mielomeningocele,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0080016,spina bifida,spina bifida,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0080016,espina bífida,espina bífida,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060327,omphalocele,omphalocele,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060327,onfalocele,hernia umbilical,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060341,agnathia-otocephaly complex,agnathia-otocephaly complex,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060341,complejo de agnatia-otocefalia,complejo agnatia-otocefalia,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060445,congenital stromal corneal dystrophy,congenital stromal corneal dystrophy,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060445,distrofia corneal estromal congénita,distrofia corneal estromal congénita,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060558,lethal congenital contracture syndrome,lethal congenital contracture syndrome,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060558,síndrome de contractura congénita letal,síndrome de contractura congénita letal,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060559,lethal congenital contracture syndrome 1,lethal congenital contracture syndrome 1,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060559,síndrome de contractura congénita letal 1,síndrome de contractura congénita letal 1,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060560,lethal congenital contracture syndrome 2,lethal congenital contracture syndrome 2,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060560,síndrome de contractura congénita letal 2,síndrome de contractura congénita letal 2,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060563,Char syndrome,Char syndrome,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060563,Síndrome de Char,síndrome de char,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_13832,patent ductus arteriosus,patent ductus arteriosus,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_13832,conducto arterioso persistente,conducto arterioso permeable,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060613,X-linked cleft palate with or without ankyloglossia,X-linked cleft palate with or without ankyloglossia,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060613,Paladar hendido ligado al cromosoma X con o sin anquiloglosia,Paladar hendido ligado al cromosoma X con o sin anquiloglosia,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_674,cleft palate,cleft palate,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_674,paladar hendido,paladar hendido,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060638,neonatal diabetes mellitus with congenital hypothyroidism,neonatal diabetes mellitus with congenital hypothyroidism,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060638,diabetes mellitus neonatal con hipotiroidismo congénito,diabetes mellitus neonatal con hipotiroidismo congénito,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060646,congenital chylothorax,congenital chylothorax,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060646,quilotórax congénito,quilotórax congénito,exact
,,added article,,5,http://purl.obolibrary.org/obo/DOID_0060649,congenital hereditary endothelial dystrophy of cornea,congenital hereditary endothelial dystrophy of the cornea,0.9298245614035088,0.9298245614035088,0.9636363636363636,0.995041325,1,,http://purl.obolibrary.org/obo/DOID_0060649,distrofia endotelial hereditaria congénita de la córnea,distrofia endotelial hereditaria congénita de la córnea,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060653,lethal congenital contracture syndrome 3,lethal congenital contracture syndrome 3,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060653,síndrome de contractura congénita letal 3,síndrome de contractura congénita letal 3,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060654,lethal congenital contracture syndrome 4,lethal congenital contracture syndrome 4,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060654,síndrome de contractura congénita letal 4,síndrome de contractura congénita letal 4,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060655,autosomal recessive congenital ichthyosis,autosomal recessive congenital ichthyosis,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060655,ictiosis congénita autosómica recesiva,Ictiosis congénita autosómica recesiva,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060656,autosomal recessive congenital ichthyosis 1,autosomal recessive congenital ichthyosis 1,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060656,ictiosis congénita autosómica recesiva 1,Ictiosis congénita autosómica recesiva 1,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060668,anencephaly,anencephaly,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060668,anencefalia,anencefalia,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060710,autosomal recessive congenital ichthyosis 2,autosomal recessive congenital ichthyosis 2,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060710,ictiosis congénita autosómica recesiva 2,Ictiosis congénita autosómica recesiva 2,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060711,autosomal recessive congenital ichthyosis 3,autosomal recessive congenital ichthyosis 3,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060711,ictiosis congénita autosómica recesiva 3,Ictiosis congénita autosómica recesiva 3,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060712,autosomal recessive congenital ichthyosis 4A,autosomal recessive congenital ichthyosis 4A,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060712,ictiosis congénita autosómica recesiva 4A,Ictiosis congénita autosómica recesiva 4A,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060713,autosomal recessive congenital ichthyosis 4B,autosomal recessive congenital ichthyosis 4B,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060713,ictiosis congénita autosómica recesiva 4B,Ictiosis congénita autosómica recesiva 4B,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060714,autosomal recessive congenital ichthyosis 5,autosomal recessive congenital ichthyosis 5,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060714,ictiosis congénita autosómica recesiva 5,Ictiosis congénita autosómica recesiva 5,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060715,autosomal recessive congenital ichthyosis 6,autosomal recessive congenital ichthyosis 6,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060715,ictiosis congénita autosómica recesiva 6,Ictiosis congénita autosómica recesiva 6,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060716,autosomal recessive congenital ichthyosis 7,autosomal recessive congenital ichthyosis 7,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060716,ictiosis congénita autosómica recesiva 7,Ictiosis congénita autosómica recesiva 7,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060717,autosomal recessive congenital ichthyosis 8,autosomal recessive congenital ichthyosis 8,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060717,ictiosis congénita autosómica recesiva 8,Ictiosis congénita autosómica recesiva 8,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060718,autosomal recessive congenital ichthyosis 9,autosomal recessive congenital ichthyosis 9,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060718,ictiosis congénita autosómica recesiva 9,Ictiosis congénita autosómica recesiva 9,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060719,autosomal recessive congenital ichthyosis 10,autosomal recessive congenital ichthyosis 10,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060719,ictiosis congénita autosómica recesiva 10,Ictiosis congénita autosómica recesiva 10,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060720,autosomal recessive congenital ichthyosis 11,autosomal recessive congenital ichthyosis 11,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060720,ictiosis congénita autosómica recesiva 11,Ictiosis congénita autosómica recesiva 11,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060731,congenital central hypoventilation syndrome,congenital central hypoventilation syndrome,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060731,síndrome de hipoventilación central congénita,síndrome de hipoventilación central congénita,exact
,,,space|punct,5,http://purl.obolibrary.org/obo/DOID_0060769,"T-cell immunodeficiency, congenital alopecia, and nail dystrophy","T cell immunodeficiency, congenital alopecia and nail dystrophy",0.96875,0.96875,0.9763779527559056,0.9945923506395904,0.9545454545454546,,http://purl.obolibrary.org/obo/DOID_0060769,"Inmunodeficiencia de células T, alopecia congénita y distrofia ungueal","Inmunodeficiencia de células T, alopecia congénita y distrofia ungueal",exact
,,meaning,,2,http://purl.obolibrary.org/obo/DOID_0060770,dextro-looped transposition of the great arteries,right-handed transposition of the great arteries,0.7959183673469388,0.7959183673469388,0.865979381,0.9470831823640554,0.8823529411764706,,http://purl.obolibrary.org/obo/DOID_0060770,transposición dextrógira de las grandes arterias,transposición en bucle dextro de las grandes arterias,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_1682,congenital heart disease,congenital heart disease,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_1682,cardiopatía congénita,cardiopatía congénita,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060772,multiple types of congenital heart defects 6,multiple types of congenital heart defects 6,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060772,múltiples tipos de defectos cardíacos congénitos 6,múltiples tipos de defectos cardíacos congénitos 6,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060774,congenital diarrhea,congenital diarrhea,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060774,diarrea congénita,diarrea congénita,exact
,,plural,,4,http://purl.obolibrary.org/obo/DOID_0060775,microvillus inclusion disease,microvilli inclusion disease,0.9310344827586208,0.9310344827586208,0.9473684210526316,0.9811514805819238,1,,http://purl.obolibrary.org/obo/DOID_0060775,enfermedad de inclusión de microvellosidades,enfermedad de inclusión de microvellosidades,exact
"""tuft enteropathy"" is used: https://www.google.com/search?q=%22tuft+enteropathy%22&client=firefox-b-1-d&sca_esv=c9a915b7e2353e00&sca_upv=1&sxsrf=ADLYWIKhw10Z1fC6GfjocUS_igweWXG63A%3A1725473755710&ei=26PYZp-BK6mk5NoP8OynoAw&ved=0ahUKEwjf2pzS8qmIAxUpElkFHXD2CcQQ4dUDCBA&uact=5&oq=%22tuft+enteropathy%22&gs_lp=Egxnd3Mtd2l6LXNlcnAiEiJ0dWZ0IGVudGVyb3BhdGh5IjIIEAAYFhgKGB4yCxAAGIAEGIYDGIoFMgsQABiABBiGAxiKBTILEAAYgAQYhgMYigUyCBAAGIAEGKIEMggQABiABBiiBEiFHlDuBlilHHACeAGQAQCYAVOgAc8CqgEBNbgBA8gBAPgBAZgCB6AC6gLCAgoQABiwAxjWBBhHwgIKECMYgAQYJxiKBcICBhAAGAcYHpgDAIgGAZAGCJIHATegB5wf&sclient=gws-wiz-serp",,conjugation,,4,http://purl.obolibrary.org/obo/DOID_0060776,congenital diarrhea 5 with tufting enteropathy,congenital diarrhea 5 with tuft enteropathy,0.9347826086956522,0.9347826086956522,0.9662921348314608,0.991661035,1,,http://purl.obolibrary.org/obo/DOID_0060776,diarrea congénita 5 con enteropatía en penacho,diarrea congénita 5 con enteropatía en penachos,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060777,congenital secretory sodium diarrhea 8,congenital secretory sodium diarrhea 8,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060777,diarrea sódica secretora congénita 8,diarrea congénita secretora de sodio 8,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060778,congenital diarrhea 7 with exudative enteropathy,congenital diarrhea 7 with exudative enteropathy,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060778,diarrea congénita 7 con enteropatía exudativa,diarrea congénita 7 con enteropatía exudativa,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060779,congenital malabsorptive diarrhea 4,congenital malabsorptive diarrhea 4,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060779,diarrea malabsortiva congénita 4,diarrea congénita malabsortiva 4,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060780,congenital diarrhea 6,congenital diarrhea 6,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060780,diarrea congénita 6,diarrea congénita 6,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060781,congenital secretory sodium diarrhea 3,congenital secretory sodium diarrhea 3,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060781,diarrea sódica secretora congénita 3,diarrea congénita secretora de sodio 3,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060856,right atrial isomerism,right atrial isomerism,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060856,isomerismo auricular derecho,isomería auricular derecha,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0060902,Norman-Roberts syndrome,Norman-Roberts syndrome,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0060902,Síndrome de Norman-Roberts,Síndrome de Norman-Roberts,exact
,TCG,error,,1,http://purl.obolibrary.org/obo/DOID_0070123,congenital nongoitrous hypothyroidism 4,congenital non-nitrous hypothyroidism 4,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.9824547782490286,0.95,,http://purl.obolibrary.org/obo/DOID_0070123,hipotiroidismo congénito no nitroso 4,hipotiroidismo congénito no bocio 4,
,TCG,error,,1,http://purl.obolibrary.org/obo/DOID_0070124,congenital nongoitrous hypothyroidism 2,congenital non-nitrous hypothyroidism 2,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.9824547782490286,0.95,,http://purl.obolibrary.org/obo/DOID_0070124,hipotiroidismo congénito no nitroso 2,hipotiroidismo congénito no bocio 2,
,TCG,error,,1,http://purl.obolibrary.org/obo/DOID_0070125,congenital nongoitrous hypothyroidism 5,congenital non-nitrous hypothyroidism 5,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.9824547782490286,0.95,,http://purl.obolibrary.org/obo/DOID_0070125,hipotiroidismo congénito no nitroso 5,hipotiroidismo congénito no bocio 5,
,TCG,error,,1,http://purl.obolibrary.org/obo/DOID_0070126,congenital nongoitrous hypothyroidism 1,congenital non-nitrous hypothyroidism 1,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.9824547782490286,0.95,,http://purl.obolibrary.org/obo/DOID_0070126,hipotiroidismo congénito no nitroso 1,hipotiroidismo congénito no bocio 1,
,TCG,error,,1,http://purl.obolibrary.org/obo/DOID_0070127,congenital nongoitrous hypothyroidism 3,congenital non-nitrous hypothyroidism 3,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.9824547782490286,0.95,,http://purl.obolibrary.org/obo/DOID_0070127,hipotiroidismo congénito no nitroso 3,hipotiroidismo congénito no bocio 3,
,TCG,error,,1,http://purl.obolibrary.org/obo/DOID_0070128,congenital nongoitrous hypothyroidism 6,congenital non-nitrous hypothyroidism 6,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.9824547782490286,0.95,,http://purl.obolibrary.org/obo/DOID_0070128,hipotiroidismo congénito no nitroso 6,hipotiroidismo congénito no bocio 6,
,,order,,5,http://purl.obolibrary.org/obo/DOID_0070253,congenital disorder of glycosylation type IIa,congenital glycosylation disorder type IIa,0.5333333333333333,0.5333333333333333,0.9655172413793104,0.9910873809320174,0.9411764705882352,,http://purl.obolibrary.org/obo/DOID_0070253,trastorno congénito de la glucosilación tipo IIa,trastorno congénito de la glicosilación tipo IIa,
,,order,,5,http://purl.obolibrary.org/obo/DOID_0070254,congenital disorder of glycosylation type IIb,congenital glycosylation disorder type IIb,0.5333333333333333,0.5333333333333333,0.9655172413793104,0.990890823,0.9444444444444444,,http://purl.obolibrary.org/obo/DOID_0070254,trastorno congénito de la glicosilación tipo IIb,trastorno congénito de la glicosilación tipo IIb,exact
,,order,,5,http://purl.obolibrary.org/obo/DOID_0070255,congenital disorder of glycosylation type IIc,congenital glycosylation disorder type IIc,0.5333333333333333,0.5333333333333333,0.9655172413793104,0.9910873809320174,0.9411764705882352,,http://purl.obolibrary.org/obo/DOID_0070255,trastorno congénito de la glicosilación tipo IIc,trastorno congénito de la glicosilación tipo IIc,exact
,,order,,5,http://purl.obolibrary.org/obo/DOID_0070256,congenital disorder of glycosylation type IId,congenital glycosylation disorder type IId,0.5333333333333333,0.5333333333333333,0.9655172413793104,0.9910873809320174,0.9411764705882352,,http://purl.obolibrary.org/obo/DOID_0070256,trastorno congénito de la glicosilación tipo IId,trastorno congénito de la glicosilación tipo IId,exact
,,order,,5,http://purl.obolibrary.org/obo/DOID_0070257,congenital disorder of glycosylation type IIe,congenital glycosylation disorder type IIe,0.5333333333333333,0.5333333333333333,0.9655172413793104,0.9911830819136672,0.9411764705882352,,http://purl.obolibrary.org/obo/DOID_0070257,trastorno congénito de la glucosilación tipo IIe,trastorno congénito de la glicosilación tipo IIe,
