tsg_set,class,label,clase,etiqueta
1,DOID:0040084,Streptococcus pneumonia,DOID:0040084,Neumonía por estreptococo
1,DOID:0040085,bacterial sepsis,DOID:0040085,sepsis bacteriana
1,DOID:0040086,Polyomavirus-associated nephropathy,DOID:0040086,Nefropatía asociada al poliomavirus
1,DOID:0040087,autoimmune peripheral neuropathy,DOID:0040087,neuropatía periférica autoinmune
1,DOID:0040088,autoimmune uveitis,DOID:0040088,uveítis autoinmune
1,DOID:0040089,autoimmune optic neuritis,DOID:0040089,neuritis óptica autoinmune
1,DOID:0040090,autoimmune gastritis,DOID:0040090,gastritis autoinmune
1,DOID:0040091,autoimmune pancreatitis,DOID:0040091,pancreatitis autoinmune
1,DOID:0040092,juvenile ankylosing spondylitis,DOID:0040092,espondilitis anquilosante juvenil
1,DOID:0040093,drug-induced lupus erythematosus,DOID:0040093,lupus eritematoso inducido por fármacos
1,DOID:0040094,autoimmune glomerulonephritis,DOID:0040094,glomerulonefritis autoinmune
1,DOID:0040095,autoimmune cardiomyopathy,DOID:0040095,cardiomiopatía autoinmune
1,DOID:0040096,autoimmune atherosclerosis,DOID:0040096,aterosclerosis autoinmune
1,DOID:0040097,autoimmune vasculitis,DOID:0040097,vasculitis autoinmune
1,DOID:0040098,pemphigus gestationis,DOID:0040098,penfigoide gestacional
1,DOID:0040099,livedoid vasculitis,DOID:0040099,vasculitis livedoide
1,DOID:0040100,Hirata disease,DOID:0040100,enfermedad de Hirata
1,DOID:0040101,"N,N'-diphenylthiourea allergic contact dermatitis",DOID:0040101,"dermatitis de contacto alérgica por N,N'-difeniltiourea"
1,DOID:0040102,"N,N'-diethylthiourea allergic contact dermatitis",DOID:0040102,"dermatitis de contacto alérgica por N,N'-dietiltiourea"
1,DOID:0040103,cefotiam allergy,DOID:0040103,alergia al cefotiam
1,DOID:0040104,"toluene 2,4-diisocyanate allergic asthma",DOID:0040104,"asma alérgico al tolueno 2,4-diisocianato"
1,DOID:0050004,seminal vesicle acute gonorrhea,DOID:0050004,gonorrea aguda de la vesícula seminal
1,DOID:0050012,chikungunya,DOID:0050012,chikungunya
1,DOID:0050025,human granulocytic anaplasmosis,DOID:0050025,anaplasmosis granulocítica humana
1,DOID:0050026,human monocytic ehrlichiosis,DOID:0050026,ehrlichiosis monocítica humana
1,DOID:0050032,mineral metabolism disease,DOID:0050032,enfermedad del metabolismo mineral
1,DOID:0050035,African tick-bite fever,DOID:0050035,fiebre africana por picadura de garrapata
1,DOID:0050041,Astrakhan spotted fever,DOID:0050041,fiebre maculosa de Astracán
1,DOID:0050042,Indian tick typhus,DOID:0050042,tifus indio por garrapatas
1,DOID:0050043,Israeli tick typhus,DOID:0050043,tifus israelí por garrapatas
1,DOID:0050046,Far Eastern spotted fever,DOID:0050046,fiebre maculosa del Extremo Oriente
1,DOID:0050047,Flinders Island spotted fever,DOID:0050047,fiebre maculosa de la isla Flinders
1,DOID:0050050,Japanese spotted fever,DOID:0050050,fiebre maculosa japonesa
1,DOID:0050051,Rickettsia parkeri spotted fever,DOID:0050051,fiebre maculosa por Rickettsia parkeri
1,DOID:0050052,Rocky Mountain spotted fever,DOID:0050052,fiebre maculosa de las Montañas Rocosas
1,DOID:0050059,oropharyngeal anthrax,DOID:0050059,carbunco orofaríngeo
1,DOID:0050061,erysipeloid,DOID:0050061,erisipeloide
1,DOID:0050072,adiaspiromycosis,DOID:0050072,adiaspiromicosis
1,DOID:0050073,invasive aspergillosis,DOID:0050073,aspergilosis invasiva
1,DOID:0050083,Keshan disease,DOID:0050083,Enfermedad de Keshan
1,DOID:0050096,tinea barbae,DOID:0050096,tiña de la barba
1,DOID:0050097,ectothrix infectious disease,DOID:0050097,enfermedad infecciosa ectothrix
1,DOID:0050105,endothrix infectious disease,DOID:0050105,enfermedad infecciosa por endothrix
1,DOID:0050116,tinea imbricata,DOID:0050116,tiña imbricata
1,DOID:0050117,disease by infectious agent,DOID:0050117,enfermedad por agente infeccioso
1,DOID:0050118,La Crosse encephalitis,DOID:0050118,encefalitis de La Crosse
1,DOID:0050120,hemophagocytic lymphohistiocytosis,DOID:0050120,linfohistiocitosis hemofagocítica
1,DOID:0050125,dengue shock syndrome,DOID:0050125,síndrome de choque por dengue
1,DOID:0050127,sinusitis,DOID:0050127,sinusitis
1,DOID:0050129,secretory diarrhea,DOID:0050129,diarrea secretora
1,DOID:0050130,osmotic diarrhea,DOID:0050130,diarrea osmótica
1,DOID:0050131,motility-related diarrhea,DOID:0050131,diarrea relacionada con la motilidad
1,DOID:0050132,inflammatory diarrhea,DOID:0050132,diarrea inflamatoria
1,DOID:0050133,superficial mycosis,DOID:0050133,micosis superficial
1,DOID:0050134,cutaneous mycosis,DOID:0050134,micosis cutánea
1,DOID:0050135,subcutaneous mycosis,DOID:0050135,micosis subcutánea
1,DOID:0050136,systemic mycosis,DOID:0050136,micosis sistémica
1,DOID:0050138,podoconiosis,DOID:0050138,podoconiosis
1,DOID:0050140,acute diarrhea,DOID:0050140,diarrea aguda
1,DOID:0050141,intestinal botulism,DOID:0050141,botulismo intestinal
1,DOID:0050143,asymptomatic dengue,DOID:0050143,dengue asintomático
1,DOID:0050144,Kartagener syndrome,DOID:0050144,síndrome de Kartagener
1,DOID:0050145,adenoiditis,DOID:0050145,adenoiditis
1,DOID:0050147,otomycosis,DOID:0050147,otomicosis
1,DOID:0050148,laryngotracheitis,DOID:0050148,laringotraqueitis
1,DOID:0050150,Pontiac fever,DOID:0050150,fiebre de Pontiac
1,DOID:0050152,aspiration pneumonia,DOID:0050152,neumonía por aspiración
1,DOID:0050153,pulmonary aspergilloma,DOID:0050153,aspergiloma pulmonar
1,DOID:0050155,sensory system disease,DOID:0050155,enfermedad del sistema sensorial
1,DOID:0050156,idiopathic pulmonary fibrosis,DOID:0050156,fibrosis pulmonar idiopática
1,DOID:0050157,cryptogenic organizing pneumonia,DOID:0050157,neumonía organizativa criptogénica
1,DOID:0050158,desquamative interstitial pneumonia,DOID:0050158,neumonía intersticial descamativa
1,DOID:0050159,lymphoid interstitial pneumonia,DOID:0050159,neumonía intersticial linfoidea
1,DOID:0050160,inhalation anthrax,DOID:0050160,carbunco por inhalación
1,DOID:0050161,lower respiratory tract disease,DOID:0050161,enfermedad del tracto respiratorio inferior
1,DOID:0050166,tuberculous salpingitis,DOID:0050166,salpingitis tuberculosa
1,DOID:0050167,autoimmune polyendocrine syndrome type 1,DOID:0050167,síndrome polendocrino autoinmune tipo 1
1,DOID:0050168,autoimmune polyendocrine syndrome type 2,DOID:0050168,síndrome polendocrino autoinmune tipo 2
1,DOID:0050169,cutaneous lupus erythematosus,DOID:0050169,lupus eritematoso cutáneo
1,DOID:0050174,Kunjin encephalitis,DOID:0050174,encefalitis por el virus Kunjin
1,DOID:0050175,tick-borne encephalitis,DOID:0050175,encefalitis transmitida por garrapatas
1,DOID:0050177,monogenic disease,DOID:0050177,enfermedad monogénica
1,DOID:0050179,Powassan encephalitis,DOID:0050179,encefalitis por el virus Powassan
1,DOID:0050185,erythema multiforme,DOID:0050185,eritema multiforme
1,DOID:0050192,Nipah virus encephalitis,DOID:0050192,encefalitis por el virus Nipah
1,DOID:0050194,Argentine hemorrhagic fever,DOID:0050194,fiebre hemorrágica argentina
1,DOID:0050195,Bolivian hemorrhagic fever,DOID:0050195,fiebre hemorrágica boliviana
1,DOID:0050196,Venezuelan hemorrhagic fever,DOID:0050196,fiebre hemorrágica venezolana
1,DOID:0050197,Brazilian hemorrhagic fever,DOID:0050197,fiebre hemorrágica brasileña
1,DOID:0050198,Chapare hemorrhagic fever,DOID:0050198,fiebre hemorrágica de Chapare
1,DOID:0050199,Whitewater Arroyo hemorrhagic fever,DOID:0050199,fiebre hemorrágica de Whitewater Arroyo
1,DOID:0050200,Korean hemorrhagic fever,DOID:0050200,fiebre hemorrágica coreana
1,DOID:0050201,nephropathia epidemica,DOID:0050201,nefropatía epidémica
1,DOID:0050202,lujo hemorrhagic fever,DOID:0050202,fiebre hemorrágica del virus lujo
1,DOID:0050204,Epstein-Barr virus hepatitis,DOID:0050204,hepatitis por el virus de Epstein-Barr
1,DOID:0050211,swine influenza,DOID:0050211,gripe porcina
1,DOID:0050214,Lambert-Eaton myasthenic syndrome,DOID:0050214,síndrome miasténico de Lambert-Eaton
1,DOID:0050218,polycystic echinococcosis,DOID:0050218,equinococosis poliquística
1,DOID:0050222,selective IgM deficiency disease,DOID:0050222,enfermedad por deficiencia selectiva de IgM
1,DOID:0050242,primary amebic meningoencephalitis,DOID:0050242,meningoencefalitis amebiana primaria
1,DOID:0050246,granulomatous amebic encephalitis,DOID:0050246,encefalitis amebiana granulomatosa
1,DOID:0050250,philophthalmiasis,DOID:0050250,filoftalmiasis
1,DOID:0050251,coenurosis,DOID:0050251,coenurosis
1,DOID:0050253,mesocestoidiasis,DOID:0050253,mesocestoidiasis
1,DOID:0050254,acanthocephaliasis,DOID:0050254,acantocefaliasis
1,DOID:0050256,angiostrongyliasis,DOID:0050256,angiostrongiliasis
1,DOID:0050259,baylisascariasis,DOID:0050259,baylisascariasis
1,DOID:0050260,dioctophymiasis,DOID:0050260,dioctofimiasis
1,DOID:0050261,thelaziasis,DOID:0050261,thelaziosis
1,DOID:0050266,tungiasis,DOID:0050266,tungiasis
1,DOID:0050268,ophthalmomyiasis,DOID:0050268,oftalmomiasis
1,DOID:0050269,Trichomonas vaginalis trichomoniasis,DOID:0050269,trichomonas vaginalis tricomoniasis
1,DOID:0050270,Trichomonas tenax trichomoniasis,DOID:0050270,Tricomoniasis por Trichomonas tenax
1,DOID:0050278,basidiobolomycosis,DOID:0050278,basidiobolomicosis
1,DOID:0050279,conidiobolomycosis,DOID:0050279,conidiobolomicosis
1,DOID:0050288,penicilliosis,DOID:0050288,peniciliosis
1,DOID:0050289,fusariosis,DOID:0050289,fusariosis
1,DOID:0050290,trichosporonosis,DOID:0050290,tricosporonosis
1,DOID:0050291,parasitic Ichthyosporea infectious disease,DOID:0050291,enfermedad infecciosa parasitaria Ichthyosporea
1,DOID:0050292,primary systemic mycosis,DOID:0050292,micosis sistémica primaria
1,DOID:0050304,aniseikonia,DOID:0050304,aniseiconia
1,DOID:0050308,Alkhurma hemorrhagic fever,DOID:0050308,fiebre hemorrágica de Alkhurma
1,DOID:0050331,lacrimoauriculodentodigital syndrome 1,DOID:0050331,síndrome lacrimoauriculodentodigital 1
1,DOID:0050332,enlarged vestibular aqueduct,DOID:0050332,acueducto vestibular agrandado
1,DOID:0050335,bradyopsia,DOID:0050335,bradiópsia
1,DOID:0050336,hypophosphatemia,DOID:0050336,hipofosfatemia
1,DOID:0050338,primary bacterial infectious disease,DOID:0050338,enfermedad infecciosa bacteriana primaria
1,DOID:0050339,commensal bacterial infectious disease,DOID:0050339,enfermedad infecciosa bacteriana comensal
1,DOID:0050340,opportunistic bacterial infectious disease,DOID:0050340,enfermedad infecciosa bacteriana oportunista
1,DOID:0050352,foodborne botulism,DOID:0050352,botulismo alimentario
1,DOID:0050353,wound botulism,DOID:0050353,botulismo en heridas
1,DOID:0050354,infant botulism,DOID:0050354,botulismo infantil
1,DOID:0050382,glandular tularemia,DOID:0050382,tularemia glandular
1,DOID:0050383,typhoidal tularemia,DOID:0050383,tularemia tifoidea
1,DOID:0050387,nonpapillary renal cell carcinoma,DOID:0050387,carcinoma de células renales no papilar
1,DOID:0050398,Carrion's disease,DOID:0050398,enfermedad de Carrión
1,DOID:0050419,complement factor I deficiency,DOID:0050419,deficiencia del factor I del complemento
1,DOID:0050424,familial adenomatous polyposis,DOID:0050424,poliposis adenomatosa familiar
1,DOID:0050425,restless legs syndrome,DOID:0050425,síndrome de las piernas inquietas
1,DOID:0050426,Stevens-Johnson syndrome,DOID:0050426,síndrome de Stevens-Johnson
1,DOID:0050427,xeroderma pigmentosum,DOID:0050427,xerodermia pigmentosa
1,DOID:0050428,nonepidermolytic palmoplantar keratoderma,DOID:0050428,queratodermia palmoplantar no epidermolítica
1,DOID:0050429,Hailey-Hailey disease,DOID:0050429,enfermedad de Hailey-Hailey
1,DOID:0050430,multiple endocrine neoplasia type 2A,DOID:0050430,neoplasia endocrina múltiple tipo 2A
1,DOID:0050431,arrhythmogenic right ventricular cardiomyopathy,DOID:0050431,miocardiopatía arritmogénica del ventrículo derecho
1,DOID:0050432,Asperger syndrome,DOID:0050432,síndrome de Asperger
1,DOID:0050433,fatal familial insomnia,DOID:0050433,insomnio familiar fatal
1,DOID:0050434,Andersen-Tawil syndrome,DOID:0050434,síndrome de Andersen-Tawil
1,DOID:0050436,mulibrey nanism,DOID:0050436,nanismo de Mulibrey
1,DOID:0050437,Danon disease,DOID:0050437,enfermedad de Danon
1,DOID:0050438,Frasier syndrome,DOID:0050438,síndrome de Frasier
1,DOID:0050439,Usher syndrome,DOID:0050439,síndrome de Usher
1,DOID:0050440,familial partial lipodystrophy,DOID:0050440,lipodistrofia parcial familiar
1,DOID:0050441,mucosulfatidosis,DOID:0050441,mucosulfatidosis
1,DOID:0050444,infantile Refsum disease,DOID:0050444,enfermedad de Refsum infantil
1,DOID:0050445,X-linked dominant hypophosphatemic rickets,DOID:0050445,raquitismo hipofosfatémico dominante ligado a X
1,DOID:0050448,white sponge nevus,DOID:0050448,nevus blanco esponjoso
1,DOID:0050449,pachyonychia congenita,DOID:0050449,paquioniquia congénita
1,DOID:0050450,Gitelman syndrome,DOID:0050450,síndrome de Gitelman
1,DOID:0050451,Brugada syndrome,DOID:0050451,síndrome de Brugada
1,DOID:0050452,mevalonic aciduria,DOID:0050452,aciduria mevalónica
1,DOID:0050456,Buruli ulcer disease,DOID:0050456,enfermedad de úlcera de Buruli
1,DOID:0050457,Sertoli cell-only syndrome,DOID:0050457,síndrome de solo Sertoli
1,DOID:0050458,juvenile myelomonocytic leukemia,DOID:0050458,leucemia mielomonocítica juvenil
1,DOID:0050459,hyperphosphatemia,DOID:0050459,hiperfosfatemia
1,DOID:0050460,Wolf-Hirschhorn syndrome,DOID:0050460,síndrome de Wolf-Hirschhorn
1,DOID:0050461,aspartylglucosaminuria,DOID:0050461,aspartilglucosaminuria
1,DOID:0050462,Antley-Bixler syndrome with disordered steroidogenesis,DOID:0050462,síndrome de Antley-Bixler con trastorno de la esteroidogénesis
1,DOID:0050463,campomelic dysplasia,DOID:0050463,displasia campomélica
1,DOID:0050464,Farber lipogranulomatosis,DOID:0050464,lipogranulomatosis de Farber
1,DOID:0050465,Muir-Torre syndrome,DOID:0050465,síndrome de Muir-Torre
1,DOID:0050466,Loeys-Dietz syndrome,DOID:0050466,síndrome de Loeys-Dietz
1,DOID:0050467,erythrokeratodermia variabilis,DOID:0050467,eritroqueratodermia variabilis
1,DOID:0050468,yellow nail syndrome,DOID:0050468,síndrome de la uña amarilla
1,DOID:0050469,Costello syndrome,DOID:0050469,síndrome de Costello
1,DOID:0050470,Donohue syndrome,DOID:0050470,síndrome de Donohue
1,DOID:0050471,Carney complex,DOID:0050471,complejo de Carney
1,DOID:0050472,monilethrix,DOID:0050472,monilethrix
1,DOID:0050473,Alstrom syndrome,DOID:0050473,síndrome de Alstrom
1,DOID:0050474,Netherton syndrome,DOID:0050474,síndrome de Netherton
1,DOID:0050475,Weill-Marchesani syndrome,DOID:0050475,síndrome de Weill-Marchesani
1,DOID:0050476,Barth syndrome,DOID:0050476,síndrome de Barth
1,DOID:0050477,Liddle syndrome,DOID:0050477,síndrome de Liddle
1,DOID:0050480,epidemic typhus,DOID:0050480,tifus epidémico
1,DOID:0050481,endemic typhus,DOID:0050481,tifus endémico
1,DOID:0050484,aneruptive fever,DOID:0050484,fiebre aneruptiva
1,DOID:0050485,sennetsu fever,DOID:0050485,fiebre sennetsu
1,DOID:0050486,exanthem,DOID:0050486,exantema
1,DOID:0050487,bacterial exanthem,DOID:0050487,exantema bacteriano
1,DOID:0050489,multinodular goiter,DOID:0050489,bocio multinodular
1,DOID:0050490,parenchymatous neurosyphilis,DOID:0050490,neurosífilis parenquimatosa
1,DOID:0050491,meningovascular neurosyphilis,DOID:0050491,neurosífilis meningovascular
1,DOID:0050495,exanthema subitum,DOID:0050495,exantema subitum
1,DOID:0050508,variola major,DOID:0050508,variola mayor
1,DOID:0050513,spinal polio,DOID:0050513,poliomielitis espinal
1,DOID:0050514,bulbospinal polio,DOID:0050514,poliomielitis bulboespinal
1,DOID:0050515,paralytic poliomyelitis,DOID:0050515,poliomielitis paralítica
1,DOID:0050516,O'nyong'nyong fever,DOID:0050516,Fiebre o'nyong'nyong
1,DOID:0050517,Barmah Forest virus disease,DOID:0050517,enfermedad vírica del bosque de Barmah
1,DOID:0050518,Ross River fever,DOID:0050518,fiebre del río de Ross
1,DOID:0050521,Oropouche fever,DOID:0050521,fiebre de Oropouche
1,DOID:0050522,Balkan hemorrhagic fever,DOID:0050522,fiebre hemorrágica de los Balcanes
1,DOID:0050523,adult T-cell leukemia/lymphoma,DOID:0050523,leucemia/linfoma de células T del adulto
1,DOID:0050524,maturity-onset diabetes of the young,DOID:0050524,diabetes juvenil de inicio en la madurez
1,DOID:0050526,Gamstorp-Wohlfart syndrome,DOID:0050526,síndrome de Gamstorp-Wohlfart
1,DOID:0050528,nonphotosensitive trichothiodystrophy 4,DOID:0050528,tricotiodistrofia no fotosensible 4
1,DOID:0050529,adult spinal muscular atrophy,DOID:0050529,atrofia muscular espinal del adulto
1,DOID:0050530,intermediate spinal muscular atrophy,DOID:0050530,atrofia muscular espinal intermedia
1,DOID:0050535,exudative vitreoretinopathy,DOID:0050535,vitreorretinopatía exudativa
1,DOID:0050537,posterior polar cataract,DOID:0050537,catarata polar posterior
1,DOID:0050538,Charcot-Marie-Tooth disease type 1,DOID:0050538,enfermedad de Charcot-Marie-Tooth tipo 1
1,DOID:0050539,Charcot-Marie-Tooth disease type 2,DOID:0050539,enfermedad de Charcot-Marie-Tooth tipo 2
1,DOID:0050540,Charcot-Marie-Tooth disease type 3,DOID:0050540,enfermedad de Charcot-Marie-Tooth tipo 3
1,DOID:0050541,Charcot-Marie-Tooth disease type 4,DOID:0050541,enfermedad de Charcot-Marie-Tooth tipo 4
1,DOID:0050542,Charcot-Marie-Tooth disease type X,DOID:0050542,enfermedad de Charcot-Marie-Tooth tipo X
1,DOID:0050543,Charcot-Marie-Tooth disease intermediate type,DOID:0050543,enfermedad de Charcot-Marie-Tooth de tipo intermedio
1,DOID:0050544,hypermethioninemia,DOID:0050544,hipermetioninemia
1,DOID:0050547,familial medullary thyroid carcinoma,DOID:0050547,carcinoma medular de tiroides familiar
1,DOID:0050548,hereditary sensory neuropathy,DOID:0050548,neuropatía sensorial hereditaria
1,DOID:0050549,Saldino-Noonan syndrome,DOID:0050549,síndrome de Saldino-Noonan
1,DOID:0050553,proteasome-associated autoinflammatory syndrome 1,DOID:0050553,síndrome autoinflamatorio asociado al proteasoma 1
1,DOID:0050554,X-linked sideroblastic anemia with ataxia,DOID:0050554,anemia sideroblástica ligada al cromosoma X con ataxia
1,DOID:0050561,Lennox-Gastaut syndrome,DOID:0050561,síndrome de Lennox-Gastaut
1,DOID:0050562,West syndrome,DOID:0050562,síndrome de West
1,DOID:0050563,nonsyndromic deafness,DOID:0050563,sordera no sindrómica
1,DOID:0050564,autosomal dominant nonsyndromic deafness,DOID:0050564,sordera autosómica dominante no sindrómica
1,DOID:0050565,autosomal recessive nonsyndromic deafness,DOID:0050565,sordera autosómica recesiva no sindrómica
1,DOID:0050566,X-linked nonsyndromic deafness,DOID:0050566,sordera no sindrómica ligada al cromosoma X
1,DOID:0050568,spondylocostal dysostosis,DOID:0050568,disostosis espondilocostal
1,DOID:0050569,Seckel syndrome,DOID:0050569,síndrome de Seckel
1,DOID:0050572,cone-rod dystrophy,DOID:0050572,distrofia de conos y bastones
1,DOID:0050573,2-hydroxyglutaric aciduria,DOID:0050573,aciduria 2-hidroxiglutárica
1,DOID:0050574,L-2-hydroxyglutaric aciduria,DOID:0050574,aciduria L-2-hidroxiglutárica
