class,synonym,clase,sinónimo
DOID:0040009,lignocaine allergy,DOID:0040009,alergia a la lignocaína
DOID:0040009,xylocaine allergy,DOID:0040009,alergia a la xilocaína
DOID:0040010,Carbocaine allergy,DOID:0040010,alergia a la Carbocaína
DOID:0040010,Polocaine allergy,DOID:0040010,alergia a la Polocaína
DOID:0040011,Luminal allergy,DOID:0040011,alergia al Luminal
DOID:0040011,phenobarbitol allergy,DOID:0040011,alergia al fenobarbital
DOID:0040011,phenobarbitone allergy,DOID:0040011,alergia a la fenobarbitona
DOID:0040012,Dilantin allergy,DOID:0040012,alergia al Dilantín
DOID:0040013,Zantac allergy,DOID:0040013,alergia al Zantac
DOID:0040016,SMX allergy,DOID:0040016,alergia al SMX
DOID:0040016,SMZ allergy,DOID:0040016,alergia al SMZ
DOID:0040016,sulphamethoxazole allergy,DOID:0040016,alergia al sulfametoxazol
DOID:0040017,Profenal allergy,DOID:0040017,alergia al Profenal
DOID:0040018,penthiobarbital allergy,DOID:0040018,alergia al penthiobarbital
DOID:0040018,pentothiobarbital allergy,DOID:0040018,alergia al pentotiobarbital
DOID:0040019,mannitol allergy,DOID:0040019,alergia al manitol
DOID:0040022,Camoquin allergy,DOID:0040022,alergia al Camoquín
DOID:0040022,Flavoquine allergy,DOID:0040022,alergia a la Flavoquina
DOID:0040023,Ceclor allergy,DOID:0040023,alergia al Ceclor
DOID:0040023,cephaclor allergy,DOID:0040023,alergia al cefaclor
DOID:0040024,Fortaz allergy,DOID:0040024,alergia al Fortaz
DOID:0040024,Tazicef allergy,DOID:0040024,alergia al Tazicef
DOID:0040025,Zinacef allergy,DOID:0040025,alergia al Zinacef
DOID:0040025,cephuroxime allergy,DOID:0040025,alergia a la cefuroxima
DOID:0040027,cytophosphane allergy,DOID:0040027,alergia al citofosfano
DOID:0040028,dicholine succinate allergy,DOID:0040028,alergia al succinato de dicolina
DOID:0040028,succinocholine allergy,DOID:0040028,alergia a la succinocolina
DOID:0040028,sux allergy,DOID:0040028,alergia a la suxi
DOID:0040028,suxamethonium allergy,DOID:0040028,alergia al suxametonio
DOID:0040029,Primsol allergy,DOID:0040029,alergia al Primsol
DOID:0040029,TMP allergy,DOID:0040029,alergia al TMP
DOID:0040029,proloprim allergy,DOID:0040029,alergia a Proloprim
DOID:0040031,Voltaren allergy,DOID:0040031,alergia al Voltarén
DOID:0040034,Esmeron allergy,DOID:0040034,alergia al Esmerón
DOID:0040034,Zemuron allergy,DOID:0040034,alergia al Zemurón
DOID:0040036,DTC allergy,DOID:0040036,alergia a la DTC
DOID:0040037,Azactam allergy,DOID:0040037,alergia al Azactam
DOID:0040037,Primbactam allergy,DOID:0040037,alergia al Primbactam
DOID:0040038,Merrem allergy,DOID:0040038,alergia al Merrem
DOID:9415,extrinsic asthma with acute exacerbation,DOID:9415,asma extrínseca con exacerbación aguda
DOID:9415,extrinsic asthma with status asthmaticus,DOID:9415,asma extrínseca con estado asmático
DOID:9415,atopic asthma,DOID:9415,asma atópica
DOID:0040040,allergic asthma to HDI,DOID:0040040,asma alérgica al HDI
DOID:0040040,allergic asthma to HMDI,DOID:0040040,asma alérgica al HMDI
DOID:0040042,allergic asthma to MDI,DOID:0040042,asma alérgica al MDI
DOID:0040043,allergic asthma to TDI,DOID:0040043,asma alérgica al TDI
DOID:0040044,allergic asthma to MIC,DOID:0040044,asma alérgica al MIC
DOID:0040045,allergic asthma to Ni,DOID:0040045,asma alérgica al Ni
DOID:0040046,allergic contact dermatitis to Ni,DOID:0040046,dermatitis de contacto alérgica al Ni
DOID:0040047,allergic asthma to TMA,DOID:0040047,asma alérgica al TMA
DOID:0040049,allergic asthma to MA,DOID:0040049,asma alérgica al MA
DOID:0040051,allergic asthma to HHPA,DOID:0040051,asma alérgica al HHPA
DOID:0040052,allergic contact dermatitis to MDI,DOID:0040052,dermatitis de contacto alérgica al MDI
DOID:0040053,allergic contact dermatitis to Co,DOID:0040053,dermatitis de contacto alérgica al Co
DOID:0040054,Co allergic asthma,DOID:0040054,asma alérgica al Co
DOID:0040055,allergic contact dermatitis to Pd,DOID:0040055,dermatitis de contacto alérgica al Pd
DOID:0040057,allergic contact dermatitis to benzoate,DOID:0040057,dermatitis de contacto alérgica al benzoato
DOID:0040058,allergic contact dermatitis to PPD,DOID:0040058,dermatitis de contacto alérgica a la PPD
DOID:0040058,allergic contact dermatitis to p-phenylenediamine,DOID:0040058,dermatitis de contacto alérgica a la parafenilendiamina
DOID:0040060,photoallergic dermatitis to Orudis,DOID:0040060,dermatitis fotoalérgica al Orudis
DOID:3818,Photoallergic contact dermatitis,DOID:3818,dermatitis de contacto fotoalérgica
DOID:3818,Photoallergic eczema,DOID:3818,eccema fotoalérgico
DOID:0040061,respiratory allergy to Reactive Black 5,DOID:0040061,alergia respiratoria al Negro Reactivo 5
DOID:0060496,airway allergy,DOID:0060496,alergia de vías aéreas
DOID:0040062,respiratory allergy to Chloraseptin,DOID:0040062,alergia respiratoria a la Cloraseptina
DOID:0040062,respiratory allergy to Chlorazol,DOID:0040062,alergia respiratoria al Clorazol
DOID:0040062,respiratory allergy to Trichlorol,DOID:0040062,alergia respiratoria al Triclorol
DOID:0040063,respiratory allergy to vinyl cyclohexene diepoxide,DOID:0040063,alergia respiratoria al diepóxido de vinilciclohexeno
DOID:0040064,allergic contact dermatitis to levo-carvone,DOID:0040064,dermatitis de contacto alérgica a la levo-carvona
DOID:0040065,Kinidin allergy,DOID:0040065,alergia al Kinidín
DOID:0040066,Alkeran allergy,DOID:0040066,alergia al Alkerán
DOID:0040067,allergic contact dermatitis to neomycin sulphate,DOID:0040067,dermatitis de contacto alérgica al sulfato de neomicina
DOID:0040068,allergic contact dermatitis to PTBP,DOID:0040068,dermatitis de contacto alérgica al PTBP
DOID:0040068,allergic contact dermatitis to butylphen,DOID:0040068,dermatitis de contacto alérgica al butilfeno
DOID:0040069,allergic contact dermatitis to DNCB,DOID:0040069,dermatitis de contacto alérgica al DNCB
DOID:0040069,allergic contact dermatitis to dinitrochlorobenzene,DOID:0040069,dermatitis de contacto alérgica al dinitroclorobenceno
DOID:0040070,Bactrim allergy,DOID:0040070,alergia al Bactrim
DOID:0040070,TMP/SMX allergy,DOID:0040070,Alergia al TMP/SMX
DOID:0040070,cotrimoxazol allergy,DOID:0040070,alergia al cotrimoxazol
DOID:0040070,trimethoprim/sulfamethoxazole allergy,DOID:0040070,alergia al trimetoprim/sulfametoxazol
DOID:0040071,gold sodium thiomalate allergy,DOID:0040071,alergia al tiomalato sódico de oro
DOID:0040072,allergic contact dermatitis to feverfew,DOID:0040072,dermatitis de contacto alérgica a la matricaria
DOID:0040073,DSCG allergy,DOID:0040073,alergia al DSCG
DOID:0040074,allergic contact dermatitis to formalin,DOID:0040074,dermatitis de contacto alérgica a la formalina
DOID:0040075,allergic contact dermatitis to BIT,DOID:0040075,dermatitis de contacto alérgica a la BIT
DOID:0040075,allergic contact dermatitis to benzisothiazolone,DOID:0040075,dermatitis de contacto alérgica a la benzisotiazolona
DOID:0040076,phthalyl allergy,DOID:0040076,alergia ftálica
DOID:0040079,allergic contact dermatitis to DNP,DOID:0040079,dermatitis de contacto alérgica al DNP
DOID:0040082,ETO allergy,DOID:0040082,alergia al ETO
DOID:0040082,ethylene oxide allergy,DOID:0040082,alergia al óxido de etileno
DOID:874,Pneumonia due to other gram-negative bacteria,DOID:874,neumonía causada por otras bacterias gramnegativas
DOID:874,gram-negative pneumonia,DOID:874,neumonía gramnegativa
DOID:0040086,PVAN,DOID:0040086,NAPV
DOID:0040086,polyomavirus associated nephropathy,DOID:0040086,nefropatía asociada al poliomavirus
DOID:11266,HFRS,DOID:11266,FHSR
DOID:11266,"Hemorrhagic fever, Russian",DOID:11266,fiebre hemorrágica rusa
DOID:11266,Hemorrhagic nephrosonephritis,DOID:11266,nefrosonefritis hemorrágica
DOID:11266,Puumala virus nephropathy,DOID:11266,nefropatía por virus Puumala
DOID:76,Gastropathy,DOID:76,gastropatía
DOID:76,stomach disorder,DOID:76,trastorno estomacal
DOID:76,gastric disease,DOID:76,enfermedad gástrica
DOID:0040093,DIL,DOID:0040093,LIF
DOID:0040093,DILE,DOID:0040093,LEIF
DOID:8857,lupus,DOID:8857,lupus
DOID:0040099,livedoid vasculopathy,DOID:0040099,vasculopatía livedoide
DOID:865,Angiitis,DOID:865,angitis
DOID:0040100,insulin autoimmune syndrome,DOID:0040100,síndrome autoinmune insulínico
DOID:0040101,neoprene allergy,DOID:0040101,alergia al neopreno
DOID:0040102,neoprene allergy,DOID:0040102,alergia al neopreno
DOID:10400,Gonorrhea of seminal vesicle,DOID:10400,gonorrea de vesícula seminal
DOID:0050012,Chikungunya fever,DOID:0050012,Fiebre de chikunguña
DOID:934,Viral Infection,DOID:934,infección viral
DOID:934,Viral disease,DOID:934,enfermedad viral
DOID:934,virus infection,DOID:934,infección por virus
DOID:0050025,human granulocytic ehrlichiosis,DOID:0050025,erliquiosis granulocítica humana
DOID:0050025,HGE,DOID:0050025,EGH
DOID:10242,human ehrlichiosis,DOID:10242,erliquiosis humana
DOID:0050026,Ehrlichiosis chafeensis,DOID:0050026,erliquiosis chaffeensis
DOID:0050035,Rickettsia africae spotted fever,DOID:0050035,fiebre maculosa por Rickettsia africae
DOID:0050035,south african tick-bite fever,DOID:0050035,fiebre sudafricana por picadura de garrapata
DOID:11104,Spotted fever group rickettsial disease,DOID:11104,rickettsiosis del grupo de las fiebres maculosas
DOID:0050043,Israeli spotted fever,DOID:0050043,fiebre maculosa israelí
DOID:0050046,Rickettsia heilongjiangensis spotted fever,DOID:0050046,fiebre maculosa por Rickettsia heilongjiangensis
DOID:0050047,Thai tick typhus,DOID:0050047,tifus por garrapata tailandesa
DOID:0050047,FISF,DOID:0050047,FMIF
DOID:0050050,Rickettsia japonica spotted fever,DOID:0050050,fiebre maculosa por Rickettsia japonica
DOID:0050050,oriental spotted fever,DOID:0050050,fiebre maculosa oriental
DOID:0050051,maculatum infection,DOID:0050051,infección por maculatum
DOID:0050052,Tick typhus,DOID:0050052,tifus por garrapata
DOID:0050052,Brazillian spotted,DOID:0050052,fiebre maculosa brasileña
DOID:0050052,Choix,DOID:0050052,Choix
DOID:0050052,Exanthematic typhus of Sao Paulo,DOID:0050052,tifus exantemático de São Paulo
DOID:0050052,Fiebre maculosa,DOID:0050052,fiebre maculosa
DOID:0050052,Fiebre manchada,DOID:0050052,fiebre manchada
DOID:0050052,Sao Paulo typhus,DOID:0050052,tifus de São Paulo
DOID:0050052,So Paulo fever,DOID:0050052,fiebre de São Paulo
DOID:0050052,Tobia fever,DOID:0050052,fiebre de Tobia
DOID:13564,Infection due to Aspergillus,DOID:13564,infección por Aspergillus
DOID:552,acute pneumonia,DOID:552,neumonía aguda
DOID:0050096,dermatophytosis of beard,DOID:0050096,dermatofitosis de la barba
DOID:37,Genodermatosis,DOID:37,genodermatosis
DOID:37,skin and subcutaneous tissue disease,DOID:37,enfermedad de la piel y del tejido subcutáneo
DOID:4337,Scalp ringworm,DOID:4337,tiña del cuero cabelludo
DOID:4337,Trichophyton rubrum tinea capitis,DOID:4337,tinea capitis por Trichophyton rubrum
DOID:4337,dermatophytosis of scalp or beard,DOID:4337,dermatofitosis del cuero cabelludo o la barba
DOID:4337,tinea capitis due to Trichophyton rubrum,DOID:4337,tinea capitis causada por Trichophyton rubrum
DOID:4337,Dermatophytosis of scalp,DOID:4337,dermatofitosis del cuero cabelludo
DOID:12179,Dermatophytosis of the trunk,DOID:12179,dermatofitosis del tronco
DOID:12179,dermatophytosis of the body,DOID:12179,dermatofitosis del cuerpo
DOID:0050117,infectious disease,DOID:0050117,enfermedad infecciosa
DOID:0050118,California Encephalitis,DOID:0050118,encefalitis de California
DOID:0050118,California virus encephalitis,DOID:0050118,encefalitis por el virus de California
DOID:0050118,Neuroinvasive California encephalitis virus infection,DOID:0050118,infección neuroinvasiva por el virus de la encefalitis de California
DOID:936,encephalopathy,DOID:936,encefalopatía
DOID:0050120,haemophagocytic syndrome,DOID:0050120,síndrome hemofagocítico
DOID:75,Lymphangiopathy,DOID:75,linfangiopatía
DOID:75,Lymphatic disease,DOID:75,enfermedad linfática
DOID:75,disease of lympoid system,DOID:75,enfermedad del sistema linfoide
DOID:75,disorder of lymph node and lymphatics,DOID:75,trastorno de los vasos y ganglios linfáticos
DOID:75,disorder of lymphatic system,DOID:75,trastorno del sistema linfático
DOID:75,disorder of lymphoid system,DOID:75,trastorno del sistema linfoide
DOID:75,lymphatic disorder,DOID:75,trastorno linfático
DOID:75,lympoid system disease,DOID:75,enfermedad del sistema linfoide
DOID:0050125,DSS,DOID:0050125,SSD
DOID:12205,Dengue Fever,DOID:12205,fiebre del dengue
DOID:12205,breakbone fever,DOID:12205,fiebre rompehuesos
DOID:12205,classic dengue,DOID:12205,dengue clásico
DOID:12205,classical dengue,DOID:12205,dengue clásico
DOID:1352,disorder of nasal sinus,DOID:1352,trastorno de los senos nasales
DOID:13250,diarrhea of presumed infectious origin,DOID:13250,diarrea de presunto origen infeccioso
DOID:13250,diarrhoea,DOID:13250,diarrea
DOID:0050133,Steroid-modified tinea infection,DOID:0050133,infección por tiña modificada por esteroides
DOID:0050133,piedra,DOID:0050133,piedra
DOID:1564,mycosis,DOID:1564,micosis
DOID:1564,mycoses,DOID:1564,micosis
DOID:11976,Botulism poisoning,DOID:11976,intoxicación botulínica
DOID:11976,Food poisoning due to Clostridium botulinum,DOID:11976,intoxicación alimentaria por Clostridium botulinum
DOID:11976,Foodborne botulism,DOID:11976,botulismo de transmisión alimentaria
DOID:11976,Infection due to clostridium botulinum,DOID:11976,infección por Clostridium botulinum
DOID:11976,Intoxication with Clostridium botulinum toxin,DOID:11976,intoxicación por toxina de Clostridium botulinum
DOID:0050144,Kartagener's syndrome,DOID:0050144,síndrome de Kartagener
DOID:9562,ciliary motility disorder,DOID:9562,trastorno de la motilidad ciliar
DOID:9562,immotile ciliary syndrome,DOID:9562,síndrome de inmovilidad ciliar
DOID:0050145,chronic adenoiditis,DOID:0050145,adenoiditis crónica
DOID:0050147,Singapore ear,DOID:0050147,oído de Singapur
DOID:9463,swimmer's ear,DOID:9463,oído de nadador
DOID:10458,Legionella infection,DOID:10458,infección por Legionella
DOID:0050156,FIBROCYSTIC PULMONARY DYSPLASIA,DOID:0050156,displasia pulmonar fibroquística
DOID:0050156,"IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL",DOID:0050156,fibrosis pulmonar idiopática familiar
DOID:0050156,cryptogenic fibrosing alveolitis,DOID:0050156,alveolitis fibrosante criptogénica
DOID:3770,Fibrosis of lung,DOID:3770,fibrosis de pulmón
DOID:0050157,BOOP,DOID:0050157,BONO
DOID:0050157,Cryptogenic organising pneumonitis,DOID:0050157,neumonitis organizada criptogénica
DOID:0050157,Cryptogenic organizing pneumonitis,DOID:0050157,neumonitis organizada criptogénica
DOID:0050157,bronchiolitis obliterans organising pneumonia,DOID:0050157,bronquiolitis obliterante con neumonía organizada
DOID:0050157,bronchiolitis obliterans organizing pneumonia,DOID:0050157,bronquiolitis obliterante con neumonía organizada
DOID:0050157,cryptogenic organising pneumonia,DOID:0050157,neumonía organizada criptogénica
DOID:0050157,idiopathic bronchiolitis obliterans with organising pneumonia,DOID:0050157,bronquiolitis obliterante idiopática con neumonía organizada
DOID:0050157,idiopathic bronchiolitis obliterans with organizing pneumonia,DOID:0050157,bronquiolitis obliterante idiopática con neumonía organizada
DOID:2797,Diffuse idiopathic pulmonary fibrosis,DOID:2797,fibrosis pulmonar idiopática difusa
DOID:2797,Idiopathic fibrosing alveolitis,DOID:2797,alveolitis fibrosante idiopática
DOID:2797,IPF,DOID:2797,FPI
DOID:0050158,RBILD,DOID:0050158,BREPI
DOID:0050158,familial desquamative interstitial pneumonitis,DOID:0050158,neumonitis intersticial descamativa familiar
DOID:0050158,respiratory bronchiolitis-associated interstitial lung disease,DOID:0050158,bronquiolitis respiratoria asociada a enfermedad pulmonar intersticial
DOID:0050160,pulmonary anthrax,DOID:0050160,ántrax pulmonar
DOID:0050160,respiratory anthrax,DOID:0050160,ántrax respiratorio
DOID:0050160,wool-sorters' disease,DOID:0050160,enfermedad de los cardadores de lana
DOID:0050160,woolsorters' disease,DOID:0050160,enfermedad de los cardadores de lana
DOID:2149,Genitourinary tuberculosis,DOID:2149,tuberculosis genitourinaria
DOID:0050167,Autoimmune Polyglandular Syndrome I,DOID:0050167,síndrome poliglandular autoinmune tipo I
DOID:0050167,Whitaker syndrome,DOID:0050167,síndrome de Whitaker
DOID:0050167,autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,DOID:0050167,poliendocrinopatía autoinmune con candidiasis y distrofia ectodérmica
DOID:14040,Autoimmune polyglandular failure,DOID:14040,insuficiencia poliglandular autoinmune
DOID:14040,Lloyd's syndrome,DOID:14040,síndrome de Lloyd
DOID:14040,autoimmune polyendocrinopathy,DOID:14040,poliendocrinopatía autoinmune
DOID:0050168,Schmidt syndrome,DOID:0050168,síndrome de Schmidt
DOID:2365,West Nile Fever with encephalitis,DOID:2365,fiebre del Nilo Occidental con encefalitis
DOID:2365,West Nile fever encephalitis,DOID:2365,encefalitis por fiebre del Nilo Occidental
DOID:0050175,Central European encephalitis,DOID:0050175,encefalitis centroeuropea
DOID:0050175,Far Eastern TBE,DOID:0050175,ETG del Lejano Oriente
DOID:0050175,Russian spring-summer encephalitis,DOID:0050175,encefalitis primavero-estival de Rusia
DOID:0050175,Siberian tick-borne encephalitis,DOID:0050175,encefalitis transmitida por garrapatas de Siberia
DOID:0050175,Taiga encephalitis,DOID:0050175,encefalitis por taiga
DOID:0050175,Western European tick-borne encephalitis,DOID:0050175,encefalitis transmitida por garrapatas de Europa occidental
DOID:0050175,west-Siberian encephalitis,DOID:0050175,encefalitis siberiana occidental
DOID:1205,allergic hypersensitivity disease,DOID:1205,enfermedad por hipersensibilidad alérgica
DOID:1205,hypersensitivity,DOID:1205,hipersensibilidad
DOID:1205,hypersensitivity reaction type I disease,DOID:1205,enfermedad por reacción de hipersensibilidad tipo I
DOID:1884,Viral hepatitis with hepatic coma,DOID:1884,hepatitis viral con coma hepático
DOID:1884,animal viral hepatitis,DOID:1884,hepatitis viral animal
DOID:1884,human viral hepatitis,DOID:1884,hepatitis viral humana
DOID:2938,EBV Infection,DOID:2938,Infección por el VEB
DOID:2938,Epstein-Barr virus infection,DOID:2938,Infección por el virus de Epstein-Barr
DOID:8469,Influenza with other manifestations,DOID:8469,influenza con otras manifestaciones
DOID:8469,flu,DOID:8469,gripe
DOID:8469,influenza with non-respiratory manifestation,DOID:8469,influenza con manifestación no respiratoria
DOID:0050214,Eaton-Lambert syndrome,DOID:0050214,síndrome de Eaton-Lambert
DOID:0050214,LEMS,DOID:0050214,SMEL
DOID:0050214,Lambert-Eaton syndrome,DOID:0050214,síndrome de Lambert-Eaton
DOID:0050218,human polycystic hydatid disease,DOID:0050218,enfermedad hidatídica poliquística humana
DOID:0050218,neotropical echinococcosis,DOID:0050218,equinococosis neotropical
DOID:1496,Echinococcosis of liver,DOID:1496,equinococosis del hígado
DOID:1496,echinococcal disease,DOID:1496,enfermedad equinocócica
DOID:1496,hepatic echinococcosis,DOID:1496,equinococosis hepática
DOID:1496,hydatid disease,DOID:1496,enfermedad hidatídica
DOID:1496,hydatidosis,DOID:1496,hidatidosis
DOID:1496,liver echinococcus,DOID:1496,equinococo hepático
DOID:1496,pulmonary echinococcosis,DOID:1496,equinococosis pulmonar
DOID:409,disorder of liver,DOID:409,trastorno del hígado
DOID:409,hepatic disorder,DOID:409,trastorno hepático
DOID:0050242,Naegleria fowleri infection,DOID:0050242,infección por Naegleria fowleri
DOID:2789,mastigophora infectious disease,DOID:2789,enfermedad infecciosa por mastigóforos
DOID:2789,sarcomastigophora infectious disease,DOID:2789,enfermedad infecciosa por sarcomastigóforos
DOID:0050246,Acanthamoeba encephalitis,DOID:0050246,encefalitis por Acanthamoeba
DOID:0050246,Acanthamoeba granulomatous encephalitis,DOID:0050246,encefalitis granulomatosa por Acanthamoeba
DOID:0050246,Granulomatous Amebic Encephalitis due to Acanthamoeba,DOID:0050246,encefalitis amebiana granulomatosa causada por Acanthamoeba
DOID:0050246,granulomatous amoebic encephalitis,DOID:0050246,encefalitis amebiana granulomatosa
DOID:883,helminth infection,DOID:883,infección helmíntica
DOID:883,helminthiasis,DOID:883,helmintiasis
DOID:883,helminthosis,DOID:883,helmintosis
DOID:883,worm infection,DOID:883,infección por gusanos
DOID:319,myelopathy,DOID:319,mielopatía
DOID:557,impaired renal function disease,DOID:557,enfermedad por alteración de la función renal
DOID:557,nephropathy,DOID:557,nefropatía
DOID:4110,ectoparasitism,DOID:4110,ectoparasitismo
DOID:11080,Infestation by fly larvae,DOID:11080,infestación por larvas de mosca
DOID:11080,Infestation by maggots,DOID:11080,infestación por gusanos
DOID:11080,Maggot infestation,DOID:11080,infestación por gusano
DOID:0050269,urogenital trichomonas,DOID:0050269,Trichomonas urogenital
DOID:1947,trichomonas infection,DOID:1947,infección por Trichomonas
DOID:732,urethra disease,DOID:732,enfermedad de la uretra
DOID:2473,Opportunistic mycoses,DOID:2473,micosis oportunistas
DOID:2473,opportunistic systemic mycoses,DOID:2473,micosis sistémicas oportunistas
DOID:1398,Ectoparasitic disease,DOID:1398,enfermedad ectoparasitaria
DOID:1398,parasitemia,DOID:1398,parasitemia
DOID:1459,Thyroid deficiency,DOID:1459,deficiencia tiroidea
DOID:1459,Thyroid insufficiency,DOID:1459,insuficiencia tiroidea
DOID:0050331,LEVY-HOLLISTER SYNDROME,DOID:0050331,síndrome de Levy-Hollister
DOID:0050331,Lacrimo-auriculo-dento-digital syndrome 1,DOID:0050331,síndrome lácrimo-auriculo-dento-digital 1
DOID:0050331,lacrimoauriculodentodigital syndrome,DOID:0050331,síndrome lácrimoauriculodentodigital
DOID:0081370,Lacrimo-auriculo-dento-digital (LADD) syndrome,DOID:0081370,síndrome lácrimo-auriculo-dento-digital (LADD)
DOID:0081370,lacrimoauriculodentodigital syndrome,DOID:0081370,síndrome lácrimoauriculodentodigital
DOID:3426,"Vertigo, vestibular disorder",DOID:3426,"vértigo, trastorno vestibular"
DOID:0050335,prolonged electroretinal response suppression,DOID:0050335,supresión prolongada de respuesta electrorretiniana
DOID:2485,Phosphorus disorder,DOID:2485,trastorno del fósforo
DOID:2485,disorder of phosphorus metabolism,DOID:2485,trastorno del metabolismo del fósforo
DOID:2485,phosphorus metabolism disorder,DOID:2485,trastorno del metabolismo del fósforo
DOID:8398,Osteoarthrosis and allied disorder,DOID:8398,osteoartrosis y trastornos relacionados
DOID:8398,degenerative arthritis,DOID:8398,artritis degenerativa
DOID:8398,degenerative joint disease,DOID:8398,enfermedad articular degenerativa
DOID:8398,hypertrophic arthritis,DOID:8398,artritis hipertrófica
DOID:8398,osteoarthrosis,DOID:8398,osteoartrosis
DOID:0050398,Carrion disease,DOID:0050398,enfermedad de Carrión
DOID:0050398,Oroya fever,DOID:0050398,fiebre de Oroya
DOID:11102,Bartonella infectious disease,DOID:11102,enfermedad infecciosa por Bartonella
DOID:11102,Rochalimaea infection,DOID:11102,infección por Rochalimaea
DOID:11102,bartonelliasis,DOID:11102,bartoneliasis
DOID:0050419,C3 INACTIVATOR DEFICIENCY,DOID:0050419,deficiencia del inactivador de C3
DOID:0050419,COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY,DOID:0050419,deficiencia del componente del complemento inactivador de C3
DOID:626,Complement deficiency disease,DOID:626,enfermedad por deficiencia del complemento
DOID:0050424,adenomatous polyposis of the colon,DOID:0050424,poliposis adenomatosa del colon
DOID:0050425,WED,DOID:0050425,EWE
DOID:0050425,Willis-Ekbom disease,DOID:0050425,enfermedad de Willis-Ekbom
DOID:0050425,Wittmaack-Ekbom syndrome,DOID:0050425,síndrome de Wittmaack-Ekbom
DOID:0050428,Thost-Unna Syndrome,DOID:0050428,síndrome de Thost-Unna
DOID:0050428,Unna-Thost Syndrome,DOID:0050428,síndrome de Unna-Thost
DOID:0050428,diffuse nonepidermolytic palmomplantar keratoderma,DOID:0050428,queratodermia palmoplantar difusa no epidermolítica
DOID:0050428,tylosis,DOID:0050428,tilosis
DOID:3390,Keratosis palmaris et plantaris,DOID:3390,queratosis palmar y plantar
DOID:3390,Palmoplantar Keratoderma,DOID:3390,queratodermia palmoplantar
DOID:3390,palmo-plantar keratodermas,DOID:3390,queratodermias palmo-plantares
DOID:0050429,BENIGN CHRONIC PEMPHIGUS,DOID:0050429,pénfigo crónico benigno
DOID:0050429,"Pemphigus, Benign Familial",DOID:0050429,pénfigo benigno familiar
DOID:0050430,MEN2A,DOID:0050430,NEM2A
DOID:0050430,Sipple syndrome,DOID:0050430,síndrome de Sipple
DOID:0050430,multiple endocrine neoplasia II,DOID:0050430,neoplasia endocrina múltiple tipo II
DOID:3125,Multiple endocrine adenomatosis,DOID:3125,adenomatosis endocrina múltiple
DOID:3125,Multiple endocrine neoplasia syndrome,DOID:3125,síndrome de neoplasia endocrina múltiple
DOID:0050431,ARVC,DOID:0050431,MAVD
DOID:0050431,ARVC cardiomyopathy,DOID:0050431,miocardiopatía MAVD
DOID:0050431,ARVD,DOID:0050431,DAVD
DOID:0050431,arrhythmogenic right ventricular cardiomyopathy,DOID:0050431,miocardiopatía arritmogénica del ventrículo derecho
