source_id,predicate_id,source_text,source_lang,target_lang,target_text
DOID:0040018,oboInOwl:hasExactSynonym,penthiobarbital allergy,en,es,alergia al penthiobarbital
DOID:0040018,oboInOwl:hasExactSynonym,pentothiobarbital allergy,en,es,alergia al pentotiobarbital
DOID:0040019,oboInOwl:hasExactSynonym,mannitol allergy,en,es,alergia al manitol
DOID:0040022,oboInOwl:hasExactSynonym,Camoquin allergy,en,es,alergia al Camoquín
DOID:0040022,oboInOwl:hasExactSynonym,Flavoquine allergy,en,es,alergia a la Flavoquina
DOID:0040023,oboInOwl:hasExactSynonym,Ceclor allergy,en,es,alergia al Ceclor
DOID:0040023,oboInOwl:hasExactSynonym,cephaclor allergy,en,es,alergia al cefaclor
DOID:0040024,oboInOwl:hasExactSynonym,Fortaz allergy,en,es,alergia al Fortaz
DOID:0040024,oboInOwl:hasExactSynonym,Tazicef allergy,en,es,alergia al Tazicef
DOID:0040025,oboInOwl:hasExactSynonym,Zinacef allergy,en,es,alergia al Zinacef
DOID:0040025,oboInOwl:hasExactSynonym,cephuroxime allergy,en,es,alergia a la cefuroxima
DOID:0040027,oboInOwl:hasExactSynonym,cytophosphane allergy,en,es,alergia al citofosfano
DOID:0040028,oboInOwl:hasExactSynonym,dicholine succinate allergy,en,es,alergia al succinato de dicolina
DOID:0040028,oboInOwl:hasExactSynonym,succinocholine allergy,en,es,alergia a la succinocolina
DOID:0040028,oboInOwl:hasExactSynonym,sux allergy,en,es,alergia a la suxi
DOID:0040028,oboInOwl:hasExactSynonym,suxamethonium allergy,en,es,alergia al suxametonio
DOID:0040029,oboInOwl:hasExactSynonym,Primsol allergy,en,es,alergia al Primsol
DOID:0040029,oboInOwl:hasExactSynonym,TMP allergy,en,es,alergia al TMP
DOID:0040029,oboInOwl:hasExactSynonym,proloprim allergy,en,es,alergia a Proloprim
DOID:0040031,oboInOwl:hasExactSynonym,Voltaren allergy,en,es,alergia al Voltarén
DOID:0040034,oboInOwl:hasExactSynonym,Esmeron allergy,en,es,alergia al Esmerón
DOID:0040034,oboInOwl:hasExactSynonym,Zemuron allergy,en,es,alergia al Zemurón
DOID:0040036,oboInOwl:hasExactSynonym,DTC allergy,en,es,alergia a la DTC
DOID:0040037,oboInOwl:hasExactSynonym,Azactam allergy,en,es,alergia al Azactam
DOID:0040037,oboInOwl:hasExactSynonym,Primbactam allergy,en,es,alergia al Primbactam
DOID:0040038,oboInOwl:hasExactSynonym,Merrem allergy,en,es,alergia al Merrem
DOID:0040040,oboInOwl:hasExactSynonym,allergic asthma to HDI,en,es,asma alérgica al HDI
DOID:0040040,oboInOwl:hasExactSynonym,allergic asthma to HMDI,en,es,asma alérgica al HMDI
DOID:0040042,oboInOwl:hasExactSynonym,allergic asthma to MDI,en,es,asma alérgica al MDI
DOID:0040043,oboInOwl:hasExactSynonym,allergic asthma to TDI,en,es,asma alérgica al TDI
DOID:0040044,oboInOwl:hasExactSynonym,allergic asthma to MIC,en,es,asma alérgica al MIC
DOID:0040045,oboInOwl:hasExactSynonym,allergic asthma to Ni,en,es,asma alérgica al Ni
DOID:0040046,oboInOwl:hasExactSynonym,allergic contact dermatitis to Ni,en,es,dermatitis de contacto alérgica al Ni
DOID:0040047,oboInOwl:hasExactSynonym,allergic asthma to TMA,en,es,asma alérgica al TMA
DOID:0040049,oboInOwl:hasExactSynonym,allergic asthma to MA,en,es,asma alérgica al MA
DOID:0040051,oboInOwl:hasExactSynonym,allergic asthma to HHPA,en,es,asma alérgica al HHPA
DOID:0040052,oboInOwl:hasExactSynonym,allergic contact dermatitis to MDI,en,es,dermatitis de contacto alérgica al MDI
DOID:0040053,oboInOwl:hasExactSynonym,allergic contact dermatitis to Co,en,es,dermatitis de contacto alérgica al Co
DOID:0040054,oboInOwl:hasExactSynonym,Co allergic asthma,en,es,asma alérgica al Co
DOID:0040055,oboInOwl:hasExactSynonym,allergic contact dermatitis to Pd,en,es,dermatitis de contacto alérgica al Pd
DOID:0040057,oboInOwl:hasExactSynonym,allergic contact dermatitis to benzoate,en,es,dermatitis de contacto alérgica al benzoato
DOID:0040058,oboInOwl:hasExactSynonym,allergic contact dermatitis to PPD,en,es,dermatitis de contacto alérgica a la PPD
DOID:0040058,oboInOwl:hasExactSynonym,allergic contact dermatitis to p-phenylenediamine,en,es,dermatitis de contacto alérgica a la parafenilendiamina
DOID:0040060,oboInOwl:hasExactSynonym,photoallergic dermatitis to Orudis,en,es,dermatitis fotoalérgica al Orudis
DOID:0040061,oboInOwl:hasExactSynonym,respiratory allergy to Reactive Black 5,en,es,alergia respiratoria al Negro Reactivo 5
DOID:0040062,oboInOwl:hasExactSynonym,respiratory allergy to Chloraseptin,en,es,alergia respiratoria a la Cloraseptina
DOID:0040062,oboInOwl:hasExactSynonym,respiratory allergy to Chlorazol,en,es,alergia respiratoria al Clorazol
DOID:0040062,oboInOwl:hasExactSynonym,respiratory allergy to Trichlorol,en,es,alergia respiratoria al Triclorol
DOID:0040063,oboInOwl:hasExactSynonym,respiratory allergy to vinyl cyclohexene diepoxide,en,es,alergia respiratoria al diepóxido de vinilciclohexeno
DOID:0040064,oboInOwl:hasExactSynonym,allergic contact dermatitis to levo-carvone,en,es,dermatitis de contacto alérgica a la levo-carvona
DOID:0040065,oboInOwl:hasExactSynonym,Kinidin allergy,en,es,alergia al Kinidín
DOID:0040066,oboInOwl:hasExactSynonym,Alkeran allergy,en,es,alergia al Alkerán
DOID:0040067,oboInOwl:hasExactSynonym,allergic contact dermatitis to neomycin sulphate,en,es,dermatitis de contacto alérgica al sulfato de neomicina
DOID:0040068,oboInOwl:hasExactSynonym,allergic contact dermatitis to PTBP,en,es,dermatitis de contacto alérgica al PTBP
DOID:0040068,oboInOwl:hasExactSynonym,allergic contact dermatitis to butylphen,en,es,dermatitis de contacto alérgica al butilfeno
DOID:0040069,oboInOwl:hasExactSynonym,allergic contact dermatitis to DNCB,en,es,dermatitis de contacto alérgica al DNCB
DOID:0040069,oboInOwl:hasExactSynonym,allergic contact dermatitis to dinitrochlorobenzene,en,es,dermatitis de contacto alérgica al dinitroclorobenceno
DOID:0040070,oboInOwl:hasExactSynonym,Bactrim allergy,en,es,alergia al Bactrim
DOID:0040070,oboInOwl:hasExactSynonym,TMP/SMX allergy,en,es,Alergia al TMP/SMX
DOID:0040070,oboInOwl:hasExactSynonym,cotrimoxazol allergy,en,es,alergia al cotrimoxazol
DOID:0040070,oboInOwl:hasExactSynonym,trimethoprim/sulfamethoxazole allergy,en,es,alergia al trimetoprim/sulfametoxazol
DOID:0040071,oboInOwl:hasExactSynonym,gold sodium thiomalate allergy,en,es,alergia al tiomalato sódico de oro
DOID:0040072,oboInOwl:hasExactSynonym,allergic contact dermatitis to feverfew,en,es,dermatitis de contacto alérgica a la matricaria
DOID:0040073,oboInOwl:hasExactSynonym,DSCG allergy,en,es,alergia al DSCG
DOID:0040074,oboInOwl:hasExactSynonym,allergic contact dermatitis to formalin,en,es,dermatitis de contacto alérgica a la formalina
DOID:0040075,oboInOwl:hasExactSynonym,allergic contact dermatitis to BIT,en,es,dermatitis de contacto alérgica a la BIT
DOID:0040075,oboInOwl:hasExactSynonym,allergic contact dermatitis to benzisothiazolone,en,es,dermatitis de contacto alérgica a la benzisotiazolona
DOID:0040076,oboInOwl:hasExactSynonym,phthalyl allergy,en,es,alergia ftálica
DOID:0040079,oboInOwl:hasExactSynonym,allergic contact dermatitis to DNP,en,es,dermatitis de contacto alérgica al DNP
DOID:0040082,oboInOwl:hasExactSynonym,ETO allergy,en,es,alergia al ETO
DOID:0040082,oboInOwl:hasExactSynonym,ethylene oxide allergy,en,es,alergia al óxido de etileno
DOID:0040086,oboInOwl:hasExactSynonym,PVAN,en,es,NAPV
DOID:0040086,oboInOwl:hasExactSynonym,polyomavirus associated nephropathy,en,es,nefropatía asociada al poliomavirus
DOID:0040093,oboInOwl:hasExactSynonym,DIL,en,es,LIF
DOID:0040093,oboInOwl:hasExactSynonym,DILE,en,es,LEIF
DOID:0040099,oboInOwl:hasExactSynonym,livedoid vasculopathy,en,es,vasculopatía livedoide
DOID:0040100,oboInOwl:hasExactSynonym,insulin autoimmune syndrome,en,es,síndrome autoinmune insulínico
DOID:0040101,oboInOwl:hasExactSynonym,neoprene allergy,en,es,alergia al neopreno
DOID:0040102,oboInOwl:hasExactSynonym,neoprene allergy,en,es,alergia al neopreno
DOID:0050012,oboInOwl:hasExactSynonym,Chikungunya fever,en,es,Fiebre de chikunguña
DOID:0050025,oboInOwl:hasRelatedSynonym,HGE,en,es,EGH
DOID:0050025,oboInOwl:hasExactSynonym,human granulocytic ehrlichiosis,en,es,erliquiosis granulocítica humana
DOID:0050026,oboInOwl:hasRelatedSynonym,Ehrlichiosis chafeensis,en,es,erliquiosis chaffeensis
DOID:0050035,oboInOwl:hasExactSynonym,Rickettsia africae spotted fever,en,es,fiebre maculosa por Rickettsia africae
DOID:0050035,oboInOwl:hasExactSynonym,south african tick-bite fever,en,es,fiebre sudafricana por picadura de garrapata
DOID:0050043,oboInOwl:hasRelatedSynonym,Israeli spotted fever,en,es,fiebre maculosa israelí
DOID:0050046,oboInOwl:hasExactSynonym,Rickettsia heilongjiangensis spotted fever,en,es,fiebre maculosa por Rickettsia heilongjiangensis
DOID:0050047,oboInOwl:hasRelatedSynonym,FISF,en,es,FMIF
DOID:0050047,oboInOwl:hasExactSynonym,Thai tick typhus,en,es,tifus por garrapata tailandesa
DOID:0050050,oboInOwl:hasExactSynonym,Rickettsia japonica spotted fever,en,es,fiebre maculosa por Rickettsia japonica
DOID:0050050,oboInOwl:hasExactSynonym,oriental spotted fever,en,es,fiebre maculosa oriental
DOID:0050051,oboInOwl:hasExactSynonym,maculatum infection,en,es,infección por maculatum
DOID:0050052,oboInOwl:hasRelatedSynonym,Brazillian spotted,en,es,fiebre maculosa brasileña
DOID:0050052,oboInOwl:hasRelatedSynonym,Choix,en,es,Choix
DOID:0050052,oboInOwl:hasRelatedSynonym,Exanthematic typhus of Sao Paulo,en,es,tifus exantemático de São Paulo
DOID:0050052,oboInOwl:hasRelatedSynonym,Fiebre maculosa,en,es,fiebre maculosa
DOID:0050052,oboInOwl:hasRelatedSynonym,Fiebre manchada,en,es,fiebre manchada
DOID:0050052,oboInOwl:hasRelatedSynonym,Sao Paulo typhus,en,es,tifus de São Paulo
DOID:0050052,oboInOwl:hasRelatedSynonym,So Paulo fever,en,es,fiebre de São Paulo
DOID:0050052,oboInOwl:hasExactSynonym,Tick typhus,en,es,tifus por garrapata
DOID:0050052,oboInOwl:hasRelatedSynonym,Tobia fever,en,es,fiebre de Tobia
DOID:0050096,oboInOwl:hasExactSynonym,dermatophytosis of beard,en,es,dermatofitosis de la barba
DOID:0050117,oboInOwl:hasExactSynonym,infectious disease,en,es,enfermedad infecciosa
DOID:0050118,oboInOwl:hasExactSynonym,California Encephalitis,en,es,encefalitis de California
DOID:0050118,oboInOwl:hasExactSynonym,California virus encephalitis,en,es,encefalitis por el virus de California
DOID:0050118,oboInOwl:hasExactSynonym,Neuroinvasive California encephalitis virus infection,en,es,infección neuroinvasiva por el virus de la encefalitis de California
DOID:0050120,oboInOwl:hasExactSynonym,haemophagocytic syndrome,en,es,síndrome hemofagocítico
DOID:0050125,oboInOwl:hasExactSynonym,DSS,en,es,SSD
DOID:0050133,oboInOwl:hasExactSynonym,Steroid-modified tinea infection,en,es,infección por tiña modificada por esteroides
DOID:0050133,oboInOwl:hasExactSynonym,piedra,en,es,piedra
DOID:0050144,oboInOwl:hasExactSynonym,Kartagener's syndrome,en,es,síndrome de Kartagener
DOID:0050145,oboInOwl:hasExactSynonym,chronic adenoiditis,en,es,adenoiditis crónica
DOID:0050147,oboInOwl:hasExactSynonym,Singapore ear,en,es,oído de Singapur
DOID:0050156,oboInOwl:hasExactSynonym,FIBROCYSTIC PULMONARY DYSPLASIA,en,es,displasia pulmonar fibroquística
DOID:0050156,oboInOwl:hasExactSynonym,"IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL",en,es,fibrosis pulmonar idiopática familiar
DOID:0050156,oboInOwl:hasExactSynonym,cryptogenic fibrosing alveolitis,en,es,alveolitis fibrosante criptogénica
DOID:0050157,oboInOwl:hasExactSynonym,BOOP,en,es,BONO
DOID:0050157,oboInOwl:hasExactSynonym,Cryptogenic organising pneumonitis,en,es,neumonitis organizada criptogénica
DOID:0050157,oboInOwl:hasExactSynonym,Cryptogenic organizing pneumonitis,en,es,neumonitis organizada criptogénica
DOID:0050157,oboInOwl:hasExactSynonym,bronchiolitis obliterans organising pneumonia,en,es,bronquiolitis obliterante con neumonía organizada
DOID:0050157,oboInOwl:hasExactSynonym,bronchiolitis obliterans organizing pneumonia,en,es,bronquiolitis obliterante con neumonía organizada
DOID:0050157,oboInOwl:hasExactSynonym,cryptogenic organising pneumonia,en,es,neumonía organizada criptogénica
DOID:0050157,oboInOwl:hasExactSynonym,idiopathic bronchiolitis obliterans with organising pneumonia,en,es,bronquiolitis obliterante idiopática con neumonía organizada
DOID:0050157,oboInOwl:hasExactSynonym,idiopathic bronchiolitis obliterans with organizing pneumonia,en,es,bronquiolitis obliterante idiopática con neumonía organizada
DOID:0050158,oboInOwl:hasExactSynonym,RBILD,en,es,BREPI
DOID:0050158,oboInOwl:hasExactSynonym,familial desquamative interstitial pneumonitis,en,es,neumonitis intersticial descamativa familiar
DOID:0050158,oboInOwl:hasExactSynonym,respiratory bronchiolitis-associated interstitial lung disease,en,es,bronquiolitis respiratoria asociada a enfermedad pulmonar intersticial
DOID:0050160,oboInOwl:hasExactSynonym,pulmonary anthrax,en,es,ántrax pulmonar
DOID:0050160,oboInOwl:hasExactSynonym,respiratory anthrax,en,es,ántrax respiratorio
DOID:0050160,oboInOwl:hasExactSynonym,wool-sorters' disease,en,es,enfermedad de los cardadores de lana
DOID:0050160,oboInOwl:hasExactSynonym,woolsorters' disease,en,es,enfermedad de los cardadores de lana
DOID:0050167,oboInOwl:hasExactSynonym,Autoimmune Polyglandular Syndrome I,en,es,síndrome poliglandular autoinmune tipo I
DOID:0050167,oboInOwl:hasExactSynonym,Whitaker syndrome,en,es,síndrome de Whitaker
DOID:0050167,oboInOwl:hasExactSynonym,autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,en,es,poliendocrinopatía autoinmune con candidiasis y distrofia ectodérmica
DOID:0050168,oboInOwl:hasExactSynonym,Schmidt syndrome,en,es,síndrome de Schmidt
DOID:0050175,oboInOwl:hasExactSynonym,Central European encephalitis,en,es,encefalitis centroeuropea
DOID:0050175,oboInOwl:hasExactSynonym,Far Eastern TBE,en,es,ETG del Lejano Oriente
DOID:0050175,oboInOwl:hasExactSynonym,Russian spring-summer encephalitis,en,es,encefalitis primavero-estival de Rusia
DOID:0050175,oboInOwl:hasExactSynonym,Siberian tick-borne encephalitis,en,es,encefalitis transmitida por garrapatas de Siberia
DOID:0050175,oboInOwl:hasExactSynonym,Taiga encephalitis,en,es,encefalitis por taiga
DOID:0050175,oboInOwl:hasExactSynonym,Western European tick-borne encephalitis,en,es,encefalitis transmitida por garrapatas de Europa occidental
DOID:0050175,oboInOwl:hasExactSynonym,west-Siberian encephalitis,en,es,encefalitis siberiana occidental
DOID:0050214,oboInOwl:hasExactSynonym,Eaton-Lambert syndrome,en,es,síndrome de Eaton-Lambert
DOID:0050214,oboInOwl:hasExactSynonym,LEMS,en,es,SMEL
DOID:0050214,oboInOwl:hasExactSynonym,Lambert-Eaton syndrome,en,es,síndrome de Lambert-Eaton
DOID:0050218,oboInOwl:hasExactSynonym,human polycystic hydatid disease,en,es,enfermedad hidatídica poliquística humana
DOID:0050218,oboInOwl:hasExactSynonym,neotropical echinococcosis,en,es,equinococosis neotropical
DOID:0050242,oboInOwl:hasExactSynonym,Naegleria fowleri infection,en,es,infección por Naegleria fowleri
DOID:0050246,oboInOwl:hasExactSynonym,Acanthamoeba encephalitis,en,es,encefalitis por Acanthamoeba
DOID:0050246,oboInOwl:hasExactSynonym,Acanthamoeba granulomatous encephalitis,en,es,encefalitis granulomatosa por Acanthamoeba
DOID:0050246,oboInOwl:hasExactSynonym,Granulomatous Amebic Encephalitis due to Acanthamoeba,en,es,encefalitis amebiana granulomatosa causada por Acanthamoeba
DOID:0050246,oboInOwl:hasExactSynonym,granulomatous amoebic encephalitis,en,es,encefalitis amebiana granulomatosa
DOID:0050269,oboInOwl:hasExactSynonym,urogenital trichomonas,en,es,Trichomonas urogenital
DOID:0050331,oboInOwl:hasExactSynonym,LEVY-HOLLISTER SYNDROME,en,es,síndrome de Levy-Hollister
DOID:0050331,oboInOwl:hasExactSynonym,Lacrimo-auriculo-dento-digital syndrome 1,en,es,síndrome lácrimo-auriculo-dento-digital 1
DOID:0050331,oboInOwl:hasExactSynonym,lacrimoauriculodentodigital syndrome,en,es,síndrome lácrimoauriculodentodigital
DOID:0050335,oboInOwl:hasExactSynonym,prolonged electroretinal response suppression,en,es,supresión prolongada de respuesta electrorretiniana
DOID:0050398,oboInOwl:hasExactSynonym,Carrion disease,en,es,enfermedad de Carrión
DOID:0050398,oboInOwl:hasExactSynonym,Oroya fever,en,es,fiebre de Oroya
DOID:0050419,oboInOwl:hasExactSynonym,C3 INACTIVATOR DEFICIENCY,en,es,deficiencia del inactivador de C3
DOID:0050419,oboInOwl:hasExactSynonym,COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY,en,es,deficiencia del componente del complemento inactivador de C3
DOID:0050424,oboInOwl:hasExactSynonym,adenomatous polyposis of the colon,en,es,poliposis adenomatosa del colon
DOID:0050425,oboInOwl:hasExactSynonym,WED,en,es,EWE
DOID:0050425,oboInOwl:hasExactSynonym,Willis-Ekbom disease,en,es,enfermedad de Willis-Ekbom
DOID:0050425,oboInOwl:hasExactSynonym,Wittmaack-Ekbom syndrome,en,es,síndrome de Wittmaack-Ekbom
DOID:0050428,oboInOwl:hasExactSynonym,Thost-Unna Syndrome,en,es,síndrome de Thost-Unna
DOID:0050428,oboInOwl:hasExactSynonym,Unna-Thost Syndrome,en,es,síndrome de Unna-Thost
DOID:0050428,oboInOwl:hasExactSynonym,diffuse nonepidermolytic palmomplantar keratoderma,en,es,queratodermia palmoplantar difusa no epidermolítica
DOID:0050428,oboInOwl:hasExactSynonym,tylosis,en,es,tilosis
DOID:0050429,oboInOwl:hasExactSynonym,BENIGN CHRONIC PEMPHIGUS,en,es,pénfigo crónico benigno
DOID:0050429,oboInOwl:hasExactSynonym,"Pemphigus, Benign Familial",en,es,pénfigo benigno familiar
DOID:0050430,oboInOwl:hasExactSynonym,MEN2A,en,es,NEM2A
DOID:0050430,oboInOwl:hasExactSynonym,Sipple syndrome,en,es,síndrome de Sipple
DOID:0050430,oboInOwl:hasExactSynonym,multiple endocrine neoplasia II,en,es,neoplasia endocrina múltiple tipo II
DOID:0050431,oboInOwl:hasExactSynonym,ARVC,en,es,MAVD
DOID:0050431,oboInOwl:hasExactSynonym,ARVC cardiomyopathy,en,es,miocardiopatía MAVD
DOID:0050431,oboInOwl:hasExactSynonym,ARVD,en,es,DAVD
DOID:0050431,oboInOwl:hasExactSynonym,arrhythmogenic right ventricular cardiomyopathy,en,es,miocardiopatía arritmogénica del ventrículo derecho
DOID:0050431,oboInOwl:hasExactSynonym,arrhythmogenic right ventricular dysplasia,en,es,displasia arritmogénica del ventrículo derecho
DOID:0050431,oboInOwl:hasExactSynonym,arrhythmogenic right ventricular dysplasia/cardiomyopathy,en,es,displasia/miocardiopatía arritmogénica del ventrículo derecho
DOID:0050431,oboInOwl:hasExactSynonym,right ventricular ACM,en,es,MCA ventricular derecha
DOID:0050434,oboInOwl:hasExactSynonym,ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARALYSIS,en,es,parálisis periódica cardiodisrítmica de Andersen
DOID:0050434,oboInOwl:hasExactSynonym,Andersen syndrome,en,es,síndrome de Andersen
DOID:0050434,oboInOwl:hasExactSynonym,LQT7,en,es,QTL7
DOID:0050434,oboInOwl:hasExactSynonym,Long QT syndrome 7,en,es,síndrome de QT largo tipo 7
DOID:0050434,oboInOwl:hasExactSynonym,Potassium-Sensitive Cardiodysrhythmic Type,en,es,tipo cardiodisrítmico sensible al potasio
DOID:0050436,oboInOwl:hasExactSynonym,MUL,en,es,MUL
DOID:0050436,oboInOwl:hasExactSynonym,Mulibrey growth disorder,en,es,trastorno del crecimiento de Mulibrey
DOID:0050436,oboInOwl:hasExactSynonym,Muscle-Liver-Brain-Eye Nanism,en,es,enanismo musculo-hígado-cerebro-ojo
DOID:0050436,oboInOwl:hasExactSynonym,PERICARDIAL CONSTRICTION AND GROWTH FAILURE,en,es,constricción pericárdica y fracaso del crecimiento
DOID:0050436,oboInOwl:hasExactSynonym,Perheentupa Syndrome,en,es,síndrome de Perheentupa
DOID:0050437,oboInOwl:hasExactSynonym,ANTOPOL DISEASE,en,es,enfermedad de Antopol
DOID:0050437,oboInOwl:hasExactSynonym,PSEUDOGLYCOGENOSIS II,en,es,pseudoglucogenosis tipo II
DOID:0050440,oboInOwl:hasExactSynonym,Dunnigan Syndrome,en,es,síndrome de Dunnigan
DOID:0050440,oboInOwl:hasExactSynonym,Koberling-Dunnigan Syndrome,en,es,síndrome de Köbberling-Dunnigan
DOID:0050441,oboInOwl:hasExactSynonym,"Sulfatidosis, Juvenile, Austin Type",en,es,sulfatidosis juvenil tipo Austin
DOID:0050441,oboInOwl:hasExactSynonym,multiple sulfatase deficiency disease,en,es,enfermedad por deficiencia de sulfatasa múltiple
DOID:0050444,oboInOwl:hasExactSynonym,infantile phytanic acid storage disease,en,es,enfermedad por almacenamiento de ácido fitánico infantil
DOID:0050445,oboInOwl:hasExactSynonym,"Hypophosphatemia, Vitamin D-Resistant Rickets",en,es,raquitismo resistente a la vitamina D por hipofosfatemia
DOID:0050445,oboInOwl:hasExactSynonym,"Vitamin D-Resistant Rickets, X-Linked",en,es,raquitismo resistente a la vitamina D ligado al X
DOID:0050445,oboInOwl:hasExactSynonym,X-linked hypophosphatemia,en,es,hipofosfatemia ligada al X
DOID:0050445,oboInOwl:hasExactSynonym,hypophosphatemic rickets X-linked dominant,en,es,raquitismo hipofosfatémico ligado al X dominante
DOID:0050448,oboInOwl:hasExactSynonym,hereditary mucosal leukokeratosis,en,es,leucoqueratosis hereditaria de la mucosa
DOID:0050448,oboInOwl:hasExactSynonym,white sponge nevus of Cannon,en,es,nevus esponjoso blanco de Cannon
DOID:0050449,oboInOwl:hasExactSynonym,Jackson-Lawler Type Pachyonychia Congenita,en,es,paquioniquia congénita tipo Jackson-Lawler
DOID:0050449,oboInOwl:hasExactSynonym,Jadassohn-Lewandowsky Syndrome,en,es,síndrome de Jadassohn-Lewandowsky
DOID:0050449,oboInOwl:hasExactSynonym,"PACHYONYCHIA CONGENITA, JADASSOHN-LEWANDOWSKY TYPE",en,es,paquioniquia congénita tipo Jadassohn-Lewandowsky
DOID:0050449,oboInOwl:hasExactSynonym,Pachyonychia Congenita Type 1,en,es,paquioniquia congénita tipo 1
DOID:0050450,oboInOwl:hasExactSynonym,"HYPOMAGNESEMIA-HYPOKALEMIA, PRIMARY RENOTUBULAR, WITH HYPOCALCIURIA",en,es,hipomagnesemia e hipopotasemia renotubular primaria con hipocalciuria
DOID:0050451,oboInOwl:hasExactSynonym,Bangungut,en,es,bangungut
DOID:0050451,oboInOwl:hasExactSynonym,Brugada type idiopathic ventricular fibrillation,en,es,fibrilación ventricular idiopática tipo Brugada
DOID:0050451,oboInOwl:hasExactSynonym,Dream disease,en,es,enfermedad del sueño
DOID:0050451,oboInOwl:hasExactSynonym,Pokkuri death syndrome,en,es,síndrome de muerte súbita de Pokkuri
DOID:0050451,oboInOwl:hasExactSynonym,SUNDS,en,es,SMSA
DOID:0050451,oboInOwl:hasExactSynonym,sudden unexplained nocturnal death syndrome,en,es,síndrome de muerte súbita nocturna inexplicable
DOID:0050452,oboInOwl:hasExactSynonym,Mevalonate Kinase Deficiency,en,es,deficiencia de mevalonato quinasa
DOID:0050456,oboInOwl:hasExactSynonym,Bairnsdale ulcer,en,es,úlcera de Bairnsdale
DOID:0050456,oboInOwl:hasExactSynonym,Daintree ulcer,en,es,úlcera de Daintree
DOID:0050456,oboInOwl:hasExactSynonym,Mossman ulcer,en,es,úlcera de Mossman
DOID:0050456,oboInOwl:hasExactSynonym,Searl ulcer,en,es,úlcera de Searl
DOID:0050456,oboInOwl:hasExactSynonym,Searle's ulcer,en,es,úlcera de Searle
DOID:0050457,oboInOwl:hasExactSynonym,DEL CASTILLO SYNDROME,en,es,síndrome de del Castillo
DOID:0050457,oboInOwl:hasExactSynonym,Germinal Cell Aplasia,en,es,aplasia de células germinales
DOID:0050460,oboInOwl:hasExactSynonym,4p deletion syndrome,en,es,síndrome de deleción del 4p
DOID:0050460,oboInOwl:hasExactSynonym,PITT SYNDROME,en,es,síndrome de Pitt
DOID:0050460,oboInOwl:hasExactSynonym,Pitt-Rogers-Danks Syndrome,en,es,síndrome de Pitt-Rogers-Danks
DOID:0050460,oboInOwl:hasExactSynonym,chromosome 4p16.3 deletion syndrome,en,es,síndrome de deleción cromosómica 4p16.3
