set,clase,etiqueta,def
1,http://purl.obolibrary.org/obo/DOID_0040025,alergia a la cefuroxima,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefuroxima.
1,http://purl.obolibrary.org/obo/DOID_0040026,alergia a la clorhexidina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la clorhexidina.
1,http://purl.obolibrary.org/obo/DOID_0040027,alergia a la ciclofosfamida,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la ciclofosfamida.
1,http://purl.obolibrary.org/obo/DOID_0040028,alergia a la succinilcolina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la succinilcolina.
1,http://purl.obolibrary.org/obo/DOID_0040029,alergia a la trimetoprima,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la trimetoprima.
1,http://purl.obolibrary.org/obo/DOID_0040030,alergia a la cefixima,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefixima.
1,http://purl.obolibrary.org/obo/DOID_0040031,alergia al diclofenaco,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al diclofenaco.
1,http://purl.obolibrary.org/obo/DOID_0040032,alergia a los carbapenémicos,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a los carbapenémicos.
1,http://purl.obolibrary.org/obo/DOID_0040033,alergia a la piperacilina,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia a la piperacilina.
1,http://purl.obolibrary.org/obo/DOID_0040034,alergia al rocuronio,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al rocuronio.
1,http://purl.obolibrary.org/obo/DOID_0040035,alergia a la sulfasalazina,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia a la sulfasalazina.
1,http://purl.obolibrary.org/obo/DOID_0040036,alergia a la tubocurarina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la tubocurarina.
1,http://purl.obolibrary.org/obo/DOID_0040037,alergia al aztreonam,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia al aztreonam.
1,http://purl.obolibrary.org/obo/DOID_0040038,alergia al meropenem,"Un asma alérgico que tiene_como_desencadenante_de_la_alergia al meropenem, un antibiótico beta-lactámico."
1,http://purl.obolibrary.org/obo/DOID_9415,asma alérgico,"Un asma extrínseca que se caracteriza por síntomas desencadenados por una reacción alérgica causada por alérgenos inhalados como el alérgeno de los ácaros del polvo, la caspa de las mascotas, el polen y el moho. La enfermedad tiene_como_síntoma tos, tiene_como_síntoma sibilancias, tiene_como_síntoma falta de aliento o tiene_como_síntoma respiración rápida, y tiene_como_síntoma presión en el pecho."
1,http://purl.obolibrary.org/obo/DOID_0040040,asma alérgico al diisocianato de hexametileno,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al diisocianato de hexametileno.
1,http://purl.obolibrary.org/obo/DOID_0040041,asma alérgico a los isocianatos,Un asma alérgico que tiene_como_desencadenante_de_la_alergia a los isocianatos.
1,http://purl.obolibrary.org/obo/DOID_0040042,"asma alérgico al difenilmetano-4,4'-diisocianato","Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al difenilmetano-4,4-diisocianato."
1,http://purl.obolibrary.org/obo/DOID_0040043,asma alérgico al meta-diisocianato de tolueno,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al meta-diisocianato de tolueno.
1,http://purl.obolibrary.org/obo/DOID_0040044,asma alérgico al isocianato de metilo,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al isocianato de metilo.
1,http://purl.obolibrary.org/obo/DOID_0040045,asma alérgico al níquel,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al átomo de níquel.
1,http://purl.obolibrary.org/obo/DOID_0060501,alergia a los metales,Enfermedad alérgica desencadenada por un metal.
1,http://purl.obolibrary.org/obo/DOID_0040046,dermatitis de contacto alérgica al níquel,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de níquel.
1,http://purl.obolibrary.org/obo/DOID_3042,dermatitis de contacto alérgica,"Una dermatitis de contacto que es una reacción alérgica de la piel a sustancias o productos químicos extraños que provoca una reacción roja, que pica y exudativa en la que la piel ha entrado en contacto con una sustancia que el sistema inmunitario reconoce como extraña."
1,http://purl.obolibrary.org/obo/DOID_0040047,asma alérgico al anhídrido trimelítico,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido trimelítico.
1,http://purl.obolibrary.org/obo/DOID_0040048,asma alérgico al anhídrido ftálico,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido ftálico.
1,http://purl.obolibrary.org/obo/DOID_0040049,asma alérgico al anhídrido maleico,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido maleico.
1,http://purl.obolibrary.org/obo/DOID_0040050,asma alérgico al anhídrido tetraclorftálico,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido tetracloroftálico.
1,http://purl.obolibrary.org/obo/DOID_0040051,asma alérgico al anhídrido hexahidroftálico,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido hexahídrico.
1,http://purl.obolibrary.org/obo/DOID_0040052,"dermatitis de contacto alérgica por difenilmetano-4,4'-diisocianato","Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al difenilmetano-4,4-diisocianato."
1,http://purl.obolibrary.org/obo/DOID_0040053,dermatitis de contacto alérgica al cobalto,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de cobalto.
1,http://purl.obolibrary.org/obo/DOID_0040054,asma alérgico al cobalto,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al átomo de cobalto.
1,http://purl.obolibrary.org/obo/DOID_0040055,dermatitis de contacto alérgica por paladio,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al paladio.
1,http://purl.obolibrary.org/obo/DOID_0040056,dermatitis de contacto alérgica al cromo,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de cromo.
1,http://purl.obolibrary.org/obo/DOID_0040057,dermatitis de contacto alérgica por ácido benzoico,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al ácido benzoico.
1,http://purl.obolibrary.org/obo/DOID_0040058,"dermatitis de contacto alérgica por 1,4-fenilendiamina","Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la 1,4-fenilendiamina."
1,http://purl.obolibrary.org/obo/DOID_0040059,dermatitis de contacto alérgica por dicromato potásico,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al dicromato potásico.
1,http://purl.obolibrary.org/obo/DOID_0040060,dermatitis fotoalérgica al ketoprofeno,Una dermatitis fotoalérgica que tiene_como_desencadenante_de_la_alergia al ketoprofeno.
1,http://purl.obolibrary.org/obo/DOID_3818,dermatitis fotoalérgica,"Dermatitis de contacto alérgica que se caracteriza por una reacción cutánea de hipersensibilidad de tipo retardado en respuesta a un fotoantígeno aplicado sobre la piel en individuos previamente sensibilizados a la misma sustancia, y tiene_como_síntoma pápulas eritematosas, vesículas o eczema."
1,http://purl.obolibrary.org/obo/DOID_0040061,alergia respiratoria al negro remazol,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al negro remazol-GR.
1,http://purl.obolibrary.org/obo/DOID_0060496,alergia respiratoria,Enfermedad alérgica que se_ubica_en las vías respiratorias.
1,http://purl.obolibrary.org/obo/DOID_0040062,alergia respiratoria a la cloramina T,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia a la cloramina T.
1,http://purl.obolibrary.org/obo/DOID_0040063,alergia respiratoria al dióxido de 4-vinilciclohexeno,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al dióxido de 4-vinilciclohexeno.
1,http://purl.obolibrary.org/obo/DOID_0040064,dermatitis de contacto alérgica por carvona,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la (-)-carvona.
1,http://purl.obolibrary.org/obo/DOID_0040065,alergia a la quinidina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la quinidina.
1,http://purl.obolibrary.org/obo/DOID_0040066,alergia al melfalán,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al melfalán.
1,http://purl.obolibrary.org/obo/DOID_0040067,dermatitis de contacto alérgica por sulfato de neomicina,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al sulfato de neomicina.
1,http://purl.obolibrary.org/obo/DOID_0040068,dermatitis de contacto alérgica por 4-tert-butilfenol,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al 4-tert-butilfenol.
1,http://purl.obolibrary.org/obo/DOID_0040069,"dermatitis de contacto alérgica por 1-cloro-2,4-dinitrobenceno","Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al 1-cloro-2,4-dinitrobenceno."
1,http://purl.obolibrary.org/obo/DOID_0040070,alergia al cotrimoxazol,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia al cotrimoxazol.
1,http://purl.obolibrary.org/obo/DOID_0040071,alergia al aurotiomalato sódico,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al aurotiomalato sódico.
1,http://purl.obolibrary.org/obo/DOID_0040072,dermatitis de contacto alérgica por partenolida,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la partenolida.
1,http://purl.obolibrary.org/obo/DOID_0040073,alergia al cromoglicato disódico,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al cromoglicato disódico.
1,http://purl.obolibrary.org/obo/DOID_0040074,dermatitis de contacto alérgica al formaldehído,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al formaldehído.
1,http://purl.obolibrary.org/obo/DOID_0040075,dermatitis de contacto alérgica por benzo[d]isotiazol-3-ona,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la benzo[d]isotiazol-3-ona.
1,http://purl.obolibrary.org/obo/DOID_0040076,alergia al grupo ftalilo,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al ftalilo.
1,http://purl.obolibrary.org/obo/DOID_0040077,alergia al bromuro de alcuronio,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al bromuro de alcuronio.
1,http://purl.obolibrary.org/obo/DOID_0040078,alergia a la galamina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la galamina.
1,http://purl.obolibrary.org/obo/DOID_0040079,"dermatitis de contacto alérgica por 2,4-dinitrofenilo","Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al grupo 2,4-dinitrofenilo."
1,http://purl.obolibrary.org/obo/DOID_0040080,alergia al azul patentado V,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al azul patentado V.
1,http://purl.obolibrary.org/obo/DOID_0040081,alergia respiratoria al anhídrido ácido,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al anhídrido ácido.
1,http://purl.obolibrary.org/obo/DOID_0040082,alergia al oxirano,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al oxirano.
1,http://purl.obolibrary.org/obo/DOID_0040083,neumonía por clamidia,Una neumonía bacteriana que tiene_como_base la Chlamydia pneumoniae.
1,http://purl.obolibrary.org/obo/DOID_874,neumonía bacteriana,Una neumonía que implica la inflamación de los pulmones causada por bacterias.
1,http://purl.obolibrary.org/obo/DOID_0040084,Neumonía por estreptococo,Una neumonía bacteriana tiene_como_base el Streptococcus pneumoniae.
1,http://purl.obolibrary.org/obo/DOID_0040085,sepsis bacteriana,Una enfermedad infecciosa bacteriana que tiene_como_base las bacterias.
1,http://purl.obolibrary.org/obo/DOID_104,enfermedad infecciosa bacteriana,"Una enfermedad por agente infeccioso que resulta_en infección, tiene_como_base las bacterias."
1,http://purl.obolibrary.org/obo/DOID_0040086,Nefropatía asociada al poliomavirus,Una enfermedad infecciosa viral que tiene_como_base el poliomavirus BK.
1,http://purl.obolibrary.org/obo/DOID_11266,Fiebre hemorrágica por hantavirus con síndrome renal,"Enfermedad infecciosa vírica que es una fiebre hemorrágica, localizada en el riñón, que tiene_como_base el Orthohantavirus dobravaense, tiene_como_base el Orthohantavirus hantanense, tiene_como_base el Orthohantavirus puumalaense, tiene_como_base el Orthohantavirus seoulense, que es portada y transmitida por roedores. La infección tiene como síntomas el dolor de cabeza, fiebre, dolores musculares, rubor facial, petequias, proteinuria e insuficiencia renal."
1,http://purl.obolibrary.org/obo/DOID_0040087,neuropatía periférica autoinmune,Enfermedad autoinmune del sistema nervioso periférico que provoca una neuropatía periférica.
1,http://purl.obolibrary.org/obo/DOID_0060033,enfermedad autoinmune del sistema nervioso periférico,Enfermedad autoinmune del sistema nervioso que consiste en un funcionamiento anormal del sistema inmunitario que hace que su sistema inmunitario produzca anticuerpos o células T contra células y/o tejidos del sistema nervioso periférico.
1,http://purl.obolibrary.org/obo/DOID_0040088,uveítis autoinmune,"Una enfermedad autoinmune de ojos, oídos, nariz y garganta que se_ubica_en la úvea."
1,http://purl.obolibrary.org/obo/DOID_0060030,"enfermedad autoinmune de ojos, oídos, nariz y garganta","Una enfermedad autoinmune que se_ubica_en los ojos, se_ubica_en los oídos, se_ubica_en la nariz y se_ubica_en la garganta."
1,http://purl.obolibrary.org/obo/DOID_3480,enfermedad uveal,"Enfermedad ocular que afecta a la úvea, que son las capas pigmentadas del ojo formadas por el iris, el cuerpo ciliar y la coroides."
1,http://purl.obolibrary.org/obo/DOID_0040089,neuritis óptica autoinmune,Enfermedad autoinmune del sistema nervioso periférico que se_ubica_en el haz de proyección neuronal que conecta el ojo con el cerebro.
1,http://purl.obolibrary.org/obo/DOID_0040090,gastritis autoinmune,Enfermedad autoinmune del tracto gastrointestinal que se_ubica_en el estómago.
1,http://purl.obolibrary.org/obo/DOID_0060031,enfermedad autoinmune del tracto gastrointestinal,Enfermedad autoinmune que consiste en un funcionamiento anormal del sistema inmunitario que hace que éste produzca anticuerpos o células T contra las células y/o tejidos del tracto gastrointestinal.
1,http://purl.obolibrary.org/obo/DOID_76,enfermedad estomacal,Enfermedad del sistema gastrointestinal que se_ubica_en el estómago.
1,http://purl.obolibrary.org/obo/DOID_0040091,pancreatitis autoinmune,Una enfermedad autoinmune del sistema endocrino que se_ubica_en el páncreas.
1,http://purl.obolibrary.org/obo/DOID_0060005,enfermedad autoinmune del sistema endocrino,Enfermedad autoinmune que consiste en un funcionamiento anormal del sistema inmunitario que da lugar a la producción de anticuerpos o células T contra células y/o tejidos del sistema endocrino.
1,http://purl.obolibrary.org/obo/DOID_26,enfermedad del páncreas,Una enfermedad del sistema endocrino que se_ubica_en el páncreas.
1,http://purl.obolibrary.org/obo/DOID_0040092,espondilitis anquilosante juvenil,Enfermedad autoinmune del sistema musculoesquelético que es una espondilitis anquilosante con inicio durante la infancia.
1,http://purl.obolibrary.org/obo/DOID_0060032,enfermedad autoinmune del sistema musculoesquelético,Enfermedad autoinmune que consiste en un funcionamiento anormal del sistema inmunitario que hace que éste produzca anticuerpos o células T contra las células y/o tejidos del sistema musculoesquelético.
1,http://purl.obolibrary.org/obo/DOID_0040093,lupus eritematoso inducido por fármacos,Un lupus eritematoso causado por el uso crónico de ciertos fármacos.
1,http://purl.obolibrary.org/obo/DOID_8857,lupus eritematoso,"Enfermedad autoinmune que se caracteriza por una constelación de hallazgos que incluyen anticuerpos elevados contra antígenos nucleares, antifosfolípidos, niveles bajos de complemento, úlceras, alopecia no cicatricial, daño renal o neurológico y recuentos bajos de glóbulos blancos y plaquetas, tiene_como_síntoma erupciones cutáneas, fatiga, artritis, caída del cabello, convulsiones y síntomas relacionados con los órganos afectados."
1,http://purl.obolibrary.org/obo/DOID_0040094,glomerulonefritis autoinmune,Enfermedad autoinmune del tracto urogenital que se_ubica_en el glomérulo renal.
1,http://purl.obolibrary.org/obo/DOID_0060049,enfermedad autoinmune del tracto urogenital,Enfermedad autoinmune que consiste en un funcionamiento anormal del sistema inmunitario que hace que éste produzca anticuerpos o células T contra las células y/o tejidos del tracto urogenital.
1,http://purl.obolibrary.org/obo/DOID_0040095,cardiomiopatía autoinmune,Enfermedad autoinmune del sistema cardiovascular que se caracteriza por el deterioro de la función del músculo cardiaco.
1,http://purl.obolibrary.org/obo/DOID_0060051,enfermedad autoinmune del sistema cardiovascular,Enfermedad autoinmune que consiste en un funcionamiento anormal del sistema inmunitario que hace que su sistema inmunitario produzca anticuerpos o células T contra células y/o tejidos del sistema cardiovascular.
1,http://purl.obolibrary.org/obo/DOID_114,enfermedad cardíaca,Enfermedad del sistema cardiovascular que afecta al corazón.
1,http://purl.obolibrary.org/obo/DOID_0040096,aterosclerosis autoinmune,Enfermedad autoinmune del sistema cardiovascular que se caracteriza por la acumulación de placa en las arterias.
1,http://purl.obolibrary.org/obo/DOID_0040097,vasculitis autoinmune,Enfermedad autoinmune del sistema cardiovascular que se caracteriza por la inflamación de los vasos sanguíneos.
1,http://purl.obolibrary.org/obo/DOID_0040098,penfigoide gestacional,Un penfigoide que se caracteriza por la formación de ampollas en la piel como resultado de células T y B autorreactivas que se tienen como objetivo al BP180.
1,http://purl.obolibrary.org/obo/DOID_9182,penfigoide,"Enfermedad autoinmune de la piel y el tejido conjuntivo que se caracteriza por la formación de ampollas en la capa externa de la piel y las membranas mucosas (boca, nariz, garganta, ojos y genitales), provocando lesiones y ampollas que se rompen con facilidad."
1,http://purl.obolibrary.org/obo/DOID_0040099,vasculitis livedoide,Una vasculitis con úlceras purpúricas.
1,http://purl.obolibrary.org/obo/DOID_865,vasculitis,Enfermedad vascular que se caracteriza por la inflamación de los vasos sanguíneos.
1,http://purl.obolibrary.org/obo/DOID_0040100,enfermedad de Hirata,Enfermedad autoinmune del sistema endocrino caracterizada por hipoglucemia causada por anticuerpos contra la insulina.
1,http://purl.obolibrary.org/obo/DOID_0040101,"dermatitis de contacto alérgica por N,N'-difeniltiourea","Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la N,N-difeniltiourea."
1,http://purl.obolibrary.org/obo/DOID_0040102,"dermatitis de contacto alérgica por N,N'-dietiltiourea","Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la N,N-dietiltiourea."
1,http://purl.obolibrary.org/obo/DOID_0040103,alergia al cefotiam,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia al cefotiam.
1,http://purl.obolibrary.org/obo/DOID_0040104,"asma alérgico al tolueno 2,4-diisocianato","Un asma alérgico al meta-diisocianato de tolueno que tiene_como_desencadenante_de_la_alergia al tolueno 2,4-diisocianato."
1,http://purl.obolibrary.org/obo/DOID_0050004,gonorrea aguda de la vesícula seminal,"Una vesiculitis seminal gonocócica que se caracteriza por dolor de espalda, dolor perineal, dolor con la eyaculación, hematospermia y síntomas miccionales derivados de la inflamación que se_ubica_en las vesículas seminales causada por la infección por Neisseria gonorrhoeae."
1,http://purl.obolibrary.org/obo/DOID_10400,vesiculitis seminal gonocócica,
1,http://purl.obolibrary.org/obo/DOID_0050012,chikungunya,"Enfermedad infecciosa vírica que resulta_en una infección que se_ubica_en las articulaciones, tiene_como_base el virus Chikungunya, que se_transmite_por picadura del mosquito Aedes. La infección tiene_como_síntoma fiebre, tiene_como_síntoma artralgia, y tiene_como_síntoma erupción maculopapular."
1,http://purl.obolibrary.org/obo/DOID_934,enfermedad infecciosa viral,"Una enfermedad por agente infeccioso que provoca una infección, tiene_como_base un virus."
1,http://purl.obolibrary.org/obo/DOID_0050025,anaplasmosis granulocítica humana,"Una ehrlichiosis que provoca una infección localizada en el leucocito granular, tiene_como_base el Anaplasma phagocytophilum, que es transmitida por la garrapata estrella solitaria (Amblyomma americanum). La infección se presenta con síntomas como dolor de cabeza, dolores musculares, fatiga, fiebre y sarpullido."
1,http://purl.obolibrary.org/obo/DOID_10242,ehrlichiosis,"Enfermedad infecciosa bacteriana primaria que provoca una infección que se_ubica_en el leucocito, tiene_como_base el Ehrlichia chaffeensis o Anaplasma phagocytophilum, que se_transmite_por la garrapata estrella solitaria y se_transmite_por la garrapata de patas negras respectivamente. La infección tiene_como_síntoma dolor de cabeza, tiene_como_síntoma dolores musculares, tiene_como_síntoma fatiga y tiene_como_síntoma erupción cutánea."
1,http://purl.obolibrary.org/obo/DOID_0050026,ehrlichiosis monocítica humana,"Una ehrlichiosis que provoca una infección localizada en el monocito o localizada en el macrófago, tiene_como_base el Ehrlichia chaffeensis, que es transmitida por la garrapata de patas negras (Ixodes scapularis), es transmitida por la garrapata de patas negras occidental (Ixodes pacificus) o es transmitida por la garrapata del ricino (Ixodes ricinus). La infección se presenta con síntomas como dolor de cabeza, dolores musculares, fatiga, fiebre y sarpullido."
1,http://purl.obolibrary.org/obo/DOID_0050032,enfermedad del metabolismo mineral,Enfermedad metabólica adquirida que se caracteriza por un metabolismo mineral anormal.
1,http://purl.obolibrary.org/obo/DOID_0060158,enfermedad metabólica adquirida,"Enfermedad del metabolismo que tiene_como_base una deficiencia enzimática o acumulación de enzimas o toxinas que interfieren con el funcionamiento normal debido a una enfermedad de los órganos endocrinos, un mal funcionamiento de los órganos, una ingesta inadecuada, una deficiencia dietética o una malabsorción."
1,http://purl.obolibrary.org/obo/DOID_0050035,fiebre africana por picadura de garrapata,"Una fiebre manchada que tiene_como_base la Rickettsia africae, que se_transmite_por garrapatas (Amblyomma hebraeum y Amblyomma variegatum). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escara y tiene_como_síntoma erupción maculopapular."
1,http://purl.obolibrary.org/obo/DOID_11104,fiebre maculosa,"Una enfermedad infecciosa bacteriana primaria que provoca una infección, localizada en la célula endotelial de la arteria o localizada en la célula endotelial de la vena, tiene_como_base la Rickettsia, que se transmite por garrapatas y ácaros. La infección presenta como síntomas fiebre, dolor de cabeza, fatiga, dolores musculares y erupción maculopapular o petequial. En el lugar de la picadura de garrapata puede aparecer una escara característica (piel ennegrecida o con costra)."
1,http://purl.obolibrary.org/obo/DOID_0050041,fiebre maculosa de Astracán,"Una fiebre manchada que tiene_como_base la Rickettsia conorii subsp caspia, que se_transmite_por garrapatas (Rhipicephalus pumilio y Rhipicephalus sanguineus). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escara (generalmente única), tiene_como_síntoma adenopatía regional, tiene_como_síntoma erupción maculopapular en las extremidades."
1,http://purl.obolibrary.org/obo/DOID_0050042,tifus indio por garrapatas,"Una fiebre manchada que tiene_como_base la Rickettsia conorii subespecie indica, que se_transmite_por garrapatas (Rhipicephalus sanguineus). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escaras, tiene_como_síntoma adenopatías regionales y tiene_como_síntoma erupción maculopapular en las extremidades."
