clase,etiqueta,def
http://purl.obolibrary.org/obo/DOID_0050588,distrofia muscular-distroglicanopatía tipo B1,"Una distrofia muscular congénita caracterizada por debilidad muscular, deterioro cognitivo y anomalías cerebrales y tiene_su_base_material_en mutación en el gen POMT1 que codifica la O-manosiltransferasa."
http://purl.obolibrary.org/obo/DOID_0112375,distrofia-distroglicanopatía muscular tipo B,"Una distrofia-distroglicanopatía muscular caracterizada por la aparición temprana de debilidad muscular, discapacidad intelectual en la mayoría de los casos y presencia variable de anomalías cerebrales leves."
http://purl.obolibrary.org/obo/DOID_0050590,neutropenia congénita grave,Una neutropenia caracterizada por una detención de la maduración de la granulopoyesis a nivel de los promielocitos y la aparición precoz de infecciones bacterianas graves.
http://purl.obolibrary.org/obo/DOID_0050593,glaucoma congénito primario,"Un glaucoma que se caracteriza por daños en los nervios ópticos que reducen la visión periférica y conducen a la ceguera, tiene_su_base_material_en mutación en el gen MYOC y aparece antes de los 5 años sin otras anomalías asociadas."
http://purl.obolibrary.org/obo/DOID_0050651,comunicación interauricular,"Defecto congénito del tabique cardiaco caracterizado por una fusión anormal o inadecuada de los cojines endocárdicos superior e inferior con la porción media del tabique auricular y la porción muscular del tabique ventricular, lo que permite que la sangre sobrante circule por los pulmones."
http://purl.obolibrary.org/obo/DOID_1681,defecto septal cardíaco,NA
http://purl.obolibrary.org/obo/DOID_0050663,miopatía de Bethlem,"Una distrofia muscular congénita que se caracteriza por miopatía y contracturas articulares que progresa lentamente, tiene_su_base_material_en una herencia autosómica dominante de mutación heterocigótica en el gen COL6A1,el gen COL6A2 o el gen COL6A3."
http://purl.obolibrary.org/obo/DOID_0050674,defecto congénito de la síntesis de ácidos biliares,Trastorno metabólico heredado de los esteroides caracterizado por una conversión anormal del colesterol en ácidos biliares que se produce predominantemente en el hígado.
http://purl.obolibrary.org/obo/DOID_0050734,deficiencia congénita del factor intrínseco,Deficiencia de vitamina B12 que se caracteriza por una anemia megaloblástica debida a la ausencia del factor intrínseco gástrico que provoca una absorción anormal de la vitamina B12.
http://purl.obolibrary.org/obo/DOID_10907,microcefalia,Anomalía congénita del sistema nervioso que se caracteriza por una cabeza significativamente más pequeña de lo normal en los bebés.
http://purl.obolibrary.org/obo/DOID_0050811,hiperplasia suprarrenal congénita,Trastorno metabólico heredado de esteroides que se caracteriza por insuficiencia suprarrenal y grados variables de manifestaciones de hiper o hipoandrogenia resultantes de la deficiencia de enzimas esteroidogénicas.
http://purl.obolibrary.org/obo/DOID_0050813,displasia espondiloepifisaria con luxaciones articulares congénitas,"Una displasia espondiloepifisaria que se caracteriza por baja estatura de inicio prenatal, luxaciones articulares (rodillas, caderas, cabezas radiales), pies zambos y limitación de la amplitud de movimiento que puede afectar a todas las grandes articulaciones."
http://purl.obolibrary.org/obo/DOID_0060259,displasia renal-hepática-pancreática,"Trastorno físico caracterizado por fibrosis pancreática, displasia renal y disgenesia hepática ;que suele ser mortal poco después del nacimiento."
http://purl.obolibrary.org/obo/DOID_0060261,ptosis congénita,Una ptosis caracterizada por la caída del párpado presente al nacer.
http://purl.obolibrary.org/obo/DOID_0060285,forámenes parietales,"Defecto hereditario del tubo neural que se caracteriza por aberturas agrandadas en los huesos parietales del cráneo, tiene_su_base_material_en la mutación del gen ALX4 o del gen MSX2."
http://purl.obolibrary.org/obo/DOID_0080074,defecto del tubo neural,Trastorno físico caracterizado por el cierre incompleto del tubo neural.
http://purl.obolibrary.org/obo/DOID_0060296,diarrea secretoria congénita de cloruro 1,Una diarrea secretoria que tiene_su_base_material_en mutación en el gen SLC26A3.
http://purl.obolibrary.org/obo/DOID_0060326,mielomeningocele,"espina bífida caracterizada por la protrusión de la médula espinal a través de una abertura, cubierta por membranas meníngeas."
http://purl.obolibrary.org/obo/DOID_0080016,espina bífida,Defecto del tubo neural que se caracteriza por el cierre incompleto de la columna vertebral y las membranas que rodean la médula espinal durante el desarrollo temprano.
http://purl.obolibrary.org/obo/DOID_0060327,onfalocele,"Trastorno físico caracterizado por un defecto en el desarrollo de los músculos de la pared abdominal, que provoca que los intestinos, el hígado y otros órganos queden fuera del abdomen en una bolsa."
http://purl.obolibrary.org/obo/DOID_0060341,complejo de agnatia-otocefalia,"Trastorno físico caracterizado por hipoplasia mandibular o agnatia, malposición auricular ventromedial (melotia) y/o fusión auricular (sinotia), y microstomía con hipoplasia oroglosal o aglosia. La holoprosencefalia es la asociación más comúnmente identificada, pero se han notificado anomalías esqueléticas, genitourinarias y cardiovasculares y situs inversus."
http://purl.obolibrary.org/obo/DOID_0060445,distrofia corneal estromal congénita,Una distrofia estromal que se caracteriza por la presencia de opacidades corneales bilaterales que pueden observarse al nacer o poco después.
http://purl.obolibrary.org/obo/DOID_0060558,síndrome de contractura congénita letal,"Síndrome caracterizado por contracturas articulares congénitas no progresivas. Las contracturas pueden afectar a las extremidades superiores o inferiores y/o a la columna vertebral, dando lugar a diversos grados de limitaciones de flexión o extensión evidentes al nacer."
http://purl.obolibrary.org/obo/DOID_0060559,síndrome de contractura congénita letal 1,Síndrome de contractura congénita letal que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el mediador de exportación de ARNm el gen GLE1 en el cromosoma 9q34.
http://purl.obolibrary.org/obo/DOID_0060560,síndrome de contractura congénita letal 2,Un síndrome de contractura congénita letal que puede ser que tenga_base_material_en mutación homocigota en el gen ERBB3 en el cromosoma 12q13.
http://purl.obolibrary.org/obo/DOID_0060563,Síndrome de Char,Un conducto arterioso persistente con dismorfismo facial y quintos dígitos anormales.
http://purl.obolibrary.org/obo/DOID_13832,conducto arterioso persistente,NA
http://purl.obolibrary.org/obo/DOID_0060613,Paladar hendido ligado al cromosoma X con o sin anquiloglosia,Un paladar hendido que tiene_su_base_material_en una mutación en el gen TBX22 del cromosoma Xq21.
http://purl.obolibrary.org/obo/DOID_674,paladar hendido,"Hendidura orofacial caracterizada por una fisura del paladar blando y/o duro, debida a una fusión defectuosa de las dos placas del cráneo que forman el paladar duro."
http://purl.obolibrary.org/obo/DOID_0060638,diabetes mellitus neonatal con hipotiroidismo congénito,"Una diabetes neonatal que se caracteriza por retraso del crecimiento intrauterino, hipotiroidismo y aparición de diabetes mellitus no inmunitaria en las primeras semanas de vida, y que tiene_su_base_material_en mutaciones homocigóticas o heterocigóticas compuestas en el gen GLIS3 del cromosoma 9p24."
http://purl.obolibrary.org/obo/DOID_0060646,quilotórax congénito,"Enfermedad pleural caracterizada por la acumulación de quilo en el espacio pleural que provoca dificultad respiratoria, desnutrición y compromiso inmunológico, ya sea inmediatamente después del nacimiento o en las primeras semanas de vida."
http://purl.obolibrary.org/obo/DOID_0060649,distrofia endotelial hereditaria congénita de la córnea,"Una distrofia endotelial de la córnea que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen SLC4A11,que codifica un cotransportador de borato de sodio, en el cromosoma 20p13 y se caracteriza por el engrosamiento y la opacificación de la córnea, la morfología alterada del endotelio y la secreción de una capa colágena anormal en la membrana de Descemet."
http://purl.obolibrary.org/obo/DOID_0060653,síndrome de contractura congénita letal 3,Un síndrome de contractura congénita letal que tiene_su_base_material_en una mutación homocigota en el gen PIP5K1C del cromosoma 19p13.
http://purl.obolibrary.org/obo/DOID_0060654,síndrome de contractura congénita letal 4,Un síndrome de contractura congénita letal que tiene_su_base_material_en una mutación homocigota en el gen MYBPC1 del cromosoma 12q23.
http://purl.obolibrary.org/obo/DOID_0060655,ictiosis congénita autosómica recesiva,Ictiosis que se caracteriza por una herencia autosómica recesiva y una descamación anormal de la piel de todo el cuerpo debida a un defecto en la queratinización.
http://purl.obolibrary.org/obo/DOID_0060656,ictiosis congénita autosómica recesiva 1,"Una ictiosis congénita autosómica recesiva que se caracteriza por ictiosis lamelar, ectropión, eclabio e hiperqueratosis que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen TGM1 del cromosoma 14q11.2."
http://purl.obolibrary.org/obo/DOID_0060668,anencefalia,"Anomalía congénita del sistema nervioso caracterizada por un fallo en el cierre del neuróporo anterior que provoca la ausencia parcial o completa de la bóveda craneal acompañada de la ausencia de los tejidos suprayacentes, incluidos el cerebro y los hemisferios cerebrales, el cráneo y el cuero cabelludo."
http://purl.obolibrary.org/obo/DOID_0060710,ictiosis congénita autosómica recesiva 2,"Una ictiosis congénita autosómica recesiva caracterizada por escamas finas en el cuero cabelludo, la cara, el tronco y las extremidades, hiperlinearidad palmoplantar marcada, hiperqueratosis, acantosis, hipergranulosis leve y estrato córneo engrosado que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ALOX12B del cromosoma 17p13."
http://purl.obolibrary.org/obo/DOID_0060711,ictiosis congénita autosómica recesiva 3,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis leve, escamas finas en el cuero cabelludo, la cara, el tronco y las extremidades, escamas adherentes de color marrón oscuro en el cuello, el codo y las rodillas, e hipohidrosis que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ALOXE3 del cromosoma 17p13."
http://purl.obolibrary.org/obo/DOID_0060712,ictiosis congénita autosómica recesiva 4A,Una ictiosis congénita autosómica recesiva caracterizada por ictiosis generalizada y ectropión que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ABCA12 del cromosoma 2q35.
http://purl.obolibrary.org/obo/DOID_0060713,ictiosis congénita autosómica recesiva 4B,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis neonatal grave con ectropión y eclabio bilaterales, nariz y orejas aplanadas y rudimentarias, bandas constrictivas alrededor de las extremidades y con frecuencia letal durante la infancia que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen ABCA12 del cromosoma 2q35."
http://purl.obolibrary.org/obo/DOID_0060714,ictiosis congénita autosómica recesiva 5,"Una ictiosis congénita autosómica recesiva caracterizada por finas escamas blancas o blanco grisáceas, hiperqueratosis, acantosis y paraqueratosis moderadas que tiene_su_base_material_en la mutación homocigota en el gen CYP4F22 del cromosoma 19p13."
http://purl.obolibrary.org/obo/DOID_0060715,ictiosis congénita autosómica recesiva 6,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis generalizada, hiperqueratosis, paraqueratosis y acantosis moderada que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen NIPAL4 en el cromosoma 5q33."
http://purl.obolibrary.org/obo/DOID_0060716,ictiosis congénita autosómica recesiva 7,"Una ictiosis congénita autosómica recesiva caracterizada por finas escamas blanquecinas, eritrodermia de moderada a grave, hiperqueratosis compacta, hipergranulosis, acantosis y papilomatosis que tiene_su_base_material_en la variación en la región cromosómica 12p11.2-q13.1."
http://purl.obolibrary.org/obo/DOID_0060717,ictiosis congénita autosómica recesiva 8,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis lamelar difusa, eritema facial leve, hiperqueratosis, ortoqueratosis, hipergranulosis y acantosis que tiene_su_base_material_en mutación homocigota en el gen LIPN del cromosoma 10q23."
http://purl.obolibrary.org/obo/DOID_0060718,ictiosis congénita autosómica recesiva 9,"Una ictiosis congénita autosómica recesiva caracterizada por finas escamas eritrodérmicas, hiperlinearidad palmoplantar, ortoqueratosis gruesa, hipergranulosis, acantosis moderada y alopecia leve que tiene_su_base_material_en mutación homocigota en el gen CERS3 del cromosoma 15q26."
http://purl.obolibrary.org/obo/DOID_0060719,ictiosis congénita autosómica recesiva 10,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis generalizada, eritrodermia moderada, queratodermia palmoplantar e hipergranulosis que tiene_su_base_material_en mutación homocigota en el gen PNPLA1 del cromosoma 6p21."
http://purl.obolibrary.org/obo/DOID_0060720,ictiosis congénita autosómica recesiva 11,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis, hipotricosis, fotofobia, opacidad corneal, pinguécula, blefaritis, acantosis marcada, ortoqueratosis e hiperqueratosis que tiene_su_base_material_en una mutación homocigota en el gen ST14 del cromosoma 11q24."
http://purl.obolibrary.org/obo/DOID_0060731,síndrome de hipoventilación central congénita,"Enfermedad del sistema nervioso autónomo caracterizada por una capacidad de respuesta reducida del centro respiratorio al dióxido de carbono, respuestas pupilares a la luz disminuidas y otros síntomas relacionados con defectos en el sistema nervioso autónomo y que tiene_su_base_material_en más comúnmente mutación heterocigota en el gen PHOX2B del cromosoma 4p13 y con menos frecuencia mutaciones en los genes RET, GDNF, EDN3,BDNF o ASCL1."
http://purl.obolibrary.org/obo/DOID_0060769,"Inmunodeficiencia de células T, alopecia congénita y distrofia ungueal","Inmunodeficiencia combinada grave caracterizada por alopecia congénita, inmunodeficiencia grave de células T y crestas, picaduras o curvatura de todas las uñas que tiene_su_base_material_en mutación homocigota en el gen FOXN1 en el cromosoma 17q11-q12."
http://purl.obolibrary.org/obo/DOID_0060770,transposición dextrógira de las grandes arterias,Enfermedad cardiaca congénita caracterizada por una inversión completa de los grandes vasos en la que la aorta nace incorrectamente del ventrículo derecho y la arteria pulmonar nace incorrectamente del ventrículo izquierdo.
http://purl.obolibrary.org/obo/DOID_1682,cardiopatía congénita,NA
http://purl.obolibrary.org/obo/DOID_0060772,múltiples tipos de defectos cardíacos congénitos 6,Una cardiopatía congénita que se caracteriza por una malformación cardíaca congénita caracterizada por una concordancia auriculoventricular y una discordancia ventrículo arterial y que tiene_su_base_material_en mutación heterocigota en el gen GDF1 del cromosoma 19p13.
http://purl.obolibrary.org/obo/DOID_0060774,diarrea congénita,Diarrea que se caracteriza por deposiciones líquidas o blandas frecuentes cuando la enfermedad está presente desde el nacimiento.
http://purl.obolibrary.org/obo/DOID_0060775,enfermedad de inclusión de microvellosidades,"Una diarrea congénita caracterizada por la aparición de diarrea acuosa intratable potencialmente mortal durante la infancia, la falta de microvellosidades en la superficie de los enterocitos y la aparición de estructuras vacuolares intracelulares que contienen microvellosidades que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen MYO5B del cromosoma 18q21."
http://purl.obolibrary.org/obo/DOID_0060776,diarrea congénita 5 con enteropatía en penacho,"Una diarrea congénita caracterizada por diarrea intratable de la infancia con atrofia vellositaria, ausencia de inflamación y displasia de las células epiteliales intestinales que se manifiesta como penachos epiteliales focales en el duodeno y el yeyuno que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen EPCAM del cromosoma 2p21."
http://purl.obolibrary.org/obo/DOID_0060777,diarrea sódica secretora congénita 8,Una diarrea secretora que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen SLC9A3 del cromosoma 5p15.
http://purl.obolibrary.org/obo/DOID_0060778,diarrea congénita 7 con enteropatía exudativa,"Una diarrea congénita caracterizada por diarrea acuosa, enteropatía perdedora de proteínas, áreas parcheadas de microvellosidades distróficas en el duodeno y áreas parcheadas de atrofia vellositaria que tiene_su_base_material_en mutación homocigota en el gen DGAT1 del cromosoma 8q24.3."
http://purl.obolibrary.org/obo/DOID_0060779,diarrea malabsortiva congénita 4,Una diarrea congénita caracterizada por una diarrea malabsortiva crónica incesante y una disgenesia profunda de las células enteroendocrinas que tiene_su_base_material_en mutación en el gen que codifica la neurogenina-3 (NEUROG3) en el cromosoma 10q21.3.
http://purl.obolibrary.org/obo/DOID_0060780,diarrea congénita 6,Una diarrea congénita caracterizada por una diarrea crónica leve de aparición temprana que tiene_su_base_material_en una mutación heterocigota en el gen GUCY2C del cromosoma 12p12.
http://purl.obolibrary.org/obo/DOID_0060781,diarrea sódica secretora congénita 3,Una diarrea secretora que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen SPINT2 del cromosoma 19q13.
http://purl.obolibrary.org/obo/DOID_0060856,isomerismo auricular derecho,"heterotaxia visceral que se caracteriza por defecto septal auriculoventricular completo con aurícula común y conexión AV univentricular, drenaje pulmonar anómalo total y transposición o malposición de las grandes arterias y que tiene_su_base_material_en mutación homocigota en el gen GDF1 del cromosoma 19p12."
http://purl.obolibrary.org/obo/DOID_0060902,Síndrome de Norman-Roberts,Una lisencefalia que tiene_su_base_material_en una mutación homocigota en el gen que codifica la reelina (RELN) en el cromosoma 7q22.
http://purl.obolibrary.org/obo/DOID_0070123,hipotiroidismo congénito no nitroso 4,Un hipotiroidismo congénito caracterizado por una deficiencia tiroidea permanente presente al nacer y resultante de una deficiencia en la síntesis de TSH que tiene_su_base_material_en una mutación homocigota en el gen TSHB del cromosoma 1p13.
http://purl.obolibrary.org/obo/DOID_0070124,hipotiroidismo congénito no nitroso 2,Un hipotiroidismo congénito que tiene_su_base_material_en una mutación heterocigota en el gen PAX8 en el cromosoma 2q13.
http://purl.obolibrary.org/obo/DOID_0070125,hipotiroidismo congénito no nitroso 5,Un hipotiroidismo congénito que tiene_su_base_material_en una mutación heterocigota en el gen NKX2-5 del cromosoma 5q35.
http://purl.obolibrary.org/obo/DOID_0070126,hipotiroidismo congénito no nitroso 1,Un hipotiroidismo congénito que tiene_su_base_material_en la mutación del gen TSHR en el cromosoma 14q31.
http://purl.obolibrary.org/obo/DOID_0070127,hipotiroidismo congénito no nitroso 3,Un hipotiroidismo congénito caracterizado por la herencia autosómica dominante de la resistencia a la tirotropina que tiene_su_base_material_en la variación de la región cromosómica 15q25.3-q26.1.
http://purl.obolibrary.org/obo/DOID_0070128,hipotiroidismo congénito no nitroso 6,Un hipotiroidismo congénito que tiene_su_base_material_en una mutación heterocigota en el gen THRA en el cromosoma 17q21.1.
http://purl.obolibrary.org/obo/DOID_0070253,trastorno congénito de la glucosilación tipo IIa,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen MGAT2 en el cromosoma 14q21.3.
http://purl.obolibrary.org/obo/DOID_0070254,trastorno congénito de la glicosilación tipo IIb,Un trastorno congénito de la glicosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen MOGS en el cromosoma 2p13.1.
http://purl.obolibrary.org/obo/DOID_0070255,trastorno congénito de la glicosilación tipo IIc,Un trastorno congénito de la glicosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen SLC35C1 en el cromosoma 11p11.2.
http://purl.obolibrary.org/obo/DOID_0070256,trastorno congénito de la glicosilación tipo IId,Un trastorno congénito de la glicosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen B4GALT1 en el cromosoma 9p21.1.
http://purl.obolibrary.org/obo/DOID_0070257,trastorno congénito de la glucosilación tipo IIe,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación del gen COG7 en el cromosoma 16p12.2.
http://purl.obolibrary.org/obo/DOID_0070258,trastorno congénito de la glucosilación tipo IIf,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen SLC35A1 en el cromosoma 6q15.
http://purl.obolibrary.org/obo/DOID_0070259,trastorno congénito de la glucosilación tipo IIg,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación del gen COG1 en el cromosoma 17q25.1.
http://purl.obolibrary.org/obo/DOID_0070260,trastorno congénito de la glucosilación tipo IIh,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación del gen COG8 en el cromosoma 16q22.1.
http://purl.obolibrary.org/obo/DOID_0070261,trastorno congénito de la glucosilación tipo IIi,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación del gen COG5 en el cromosoma 7q22.3.
http://purl.obolibrary.org/obo/DOID_0070262,trastorno congénito de la glucosilación tipo IIj,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen COG4 en el cromosoma 16q22.1.
http://purl.obolibrary.org/obo/DOID_0070263,trastorno congénito de la glucosilación tipo IIk,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen TMEM165 en el cromosoma 4q12.
http://purl.obolibrary.org/obo/DOID_0070264,trastorno congénito de la glucosilación tipo IIl,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen COG6 en el cromosoma 13q14.11.
http://purl.obolibrary.org/obo/DOID_0070265,trastorno congénito de la glucosilación tipo IIm,"Un trastorno congénito de la glucosilación tipo II que se caracteriza por convulsiones de inicio infantil, hipsarritmia, hipotonía y discapacidad intelectual grave con falta de habla y que tiene_su_base_material_en herencia dominante ligada al cromosoma X de mutación hemicigota o heterocigótica en el gen SLC35A2 del cromosoma Xp11.23."
http://purl.obolibrary.org/obo/DOID_0070266,trastorno congénito de la glucosilación tipo IIn,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen SLC39A8 en el cromosoma 4q24.
http://purl.obolibrary.org/obo/DOID_0070267,trastorno congénito de la glucosilación tipo IIo,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen CCDC115 en el cromosoma 2q21.1.
http://purl.obolibrary.org/obo/DOID_0070268,trastorno congénito de la glucosilación tipo IIp,Un trastorno congénito de la glucosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen TMEM199 en el cromosoma 17q11.2.
http://purl.obolibrary.org/obo/DOID_0070269,trastorno congénito de la glicosilación tipo IIq,Un trastorno congénito de la glicosilación tipo II que tiene_su_base_material_en una mutación autosómica recesiva del gen COG2 en el cromosoma 1q42.2.
http://purl.obolibrary.org/obo/DOID_0070277,microcefalia primaria autosómica recesiva 15,"Una microcefalia primaria autosómica recesiva caracterizada por un desarrollo intelectual deficiente con habla deficiente, microcefalia progresiva y espasticidad apendicular que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen MFSD2A del cromosoma 1p34."
http://purl.obolibrary.org/obo/DOID_0070296,microcefalia primaria autosómica recesiva,"Una microcefalia primaria caracterizada por microcefalia presente al nacer, en la que el cerebro es pequeño pero tiene una arquitectura normal, y retraso mental no progresivo que tiene_su_base_material_en una mutación autosómica recesiva."
http://purl.obolibrary.org/obo/DOID_0070278,microcefalia primaria autosómica recesiva 7,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen STIL del cromosoma 1p33.
http://purl.obolibrary.org/obo/DOID_0070279,microcefalia primaria autosómica recesiva 14,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen SASS6 del cromosoma 1p21.
http://purl.obolibrary.org/obo/DOID_0070280,microcefalia primaria autosómica recesiva 5,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen ASPM del cromosoma 1q31.
http://purl.obolibrary.org/obo/DOID_0070281,microcefalia primaria autosómica recesiva 19,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen COPB2 del cromosoma 3q23.
http://purl.obolibrary.org/obo/DOID_0070282,microcefalia primaria autosómica recesiva 8,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen CEP135 del cromosoma 4q.
http://purl.obolibrary.org/obo/DOID_0070283,microcefalia primaria autosómica recesiva 13,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen CENPE del cromosoma 4q24.
