class,label,definition,clase,etiqueta,definición,class_match
http://purl.obolibrary.org/obo/DOID_0050557,congenital muscular dystrophy,"A muscular dystrophy that is characterized by diminished muscle tone (hypotonia), progressive muscle weakness and degeneration (atrophy), abnormally fixed joints, spinal rigidity, and delays in reaching motor milestones such as sitting or standing unassisted.",http://purl.obolibrary.org/obo/DOID_0050557,distrofia muscular congénita,"Una distrofia muscular que se caracteriza por un tono muscular disminuido (hipotonía), debilidad muscular progresiva y degeneración (atrofia), articulaciones anormalmente fijas, rigidez espinal y retrasos en alcanzar hitos motores como sentarse o ponerse de pie sin ayuda.",TRUE
http://purl.obolibrary.org/obo/DOID_0050558,Ullrich congenital muscular dystrophy,"A congenital muscular dystrophy that is characterized by muscle weakness and respiratory depression and has_material_basis_in mutation in the COL6A1, COL6A2 and COL6A3 that produce components of type VI collagen.",http://purl.obolibrary.org/obo/DOID_0050558,Distrofia muscular congénita de Ullrich,"Una distrofia muscular congénita que se caracteriza por debilidad muscular y depresión respiratoria y tiene_su_base_material_en mutación en los COL6A1,COL6A2 y COL6A3 que producen componentes del colágeno tipo VI.",TRUE
http://purl.obolibrary.org/obo/DOID_0050559,Fukuyama congenital muscular dystrophy,"A congenital muscular dystrophy-dystroglycanopathy type A that is characterized by muscle weakness, failure to thrive, severe intellectual and developmental disability, impaired vision and cardiac abnormalities and has_material_basis_in mutation in the FKTN gene that produces the fukutin protein.",http://purl.obolibrary.org/obo/DOID_0050559,Distrofia muscular congénita de Fukuyama,"Una distrofia muscular congénita-distroglicanopatía tipo A que se caracteriza por debilidad muscular, retraso en el desarrollo, discapacidad intelectual y del desarrollo grave, problemas de visión y anomalías cardiacas y tiene_su_base_material_en mutación en el gen FKTN que produce la proteína fukutina.",TRUE
http://purl.obolibrary.org/obo/DOID_0111229,congenital muscular dystrophy-dystroglycanopathy type A,"A congenital muscular dystrophy-dystroglycanopathy characterized by cobblestone lissencephaly, muscle weakness, and brain and eye anomalies that has_material_basis_in autosomal recessive inheritance a defect in alpha-dystroglycan post-translational processing.",http://purl.obolibrary.org/obo/DOID_0111229,distrofia muscular congénita-distroglicanopatía tipo A,"Una distrofia muscular congénita-distroglicanopatía caracterizada por lisencefalia en empedrado, debilidad muscular y anomalías cerebrales y oculares que tiene_su_base_material_en la herencia autosómica recesiva un defecto en el procesamiento postraduccional del alfa-distroglicano.",TRUE
http://purl.obolibrary.org/obo/DOID_0050560,Walker-Warburg syndrome,"A congenital muscular dystrophy that is characterized by hypotonia, seizures, severe intellectual and developmental disability, eye abnormalities and early death and has_material_basis_in mutations in multiple genes including POMT1, POMT2, ISPD, FKTN, FKRP, and LARGE1.",http://purl.obolibrary.org/obo/DOID_0050560,síndrome de Walker-Warburg,"Una distrofia muscular congénita que se caracteriza por hipotonía, convulsiones, discapacidad intelectual y del desarrollo grave, anomalías oculares y muerte prematura y tiene_su_base_material_en mutaciones en múltiples genes, incluidos POMT1,POMT2,ISPD, FKTN, FKRP y LARGE1.",TRUE
http://purl.obolibrary.org/obo/DOID_0050567,orofacial cleft,"A physical disorder that is characterized by cleft lip and/or cleft palate that result in feeding, speech and hearing problems caused by failures during development.",http://purl.obolibrary.org/obo/DOID_0050567,hendidura orofacial,"Trastorno físico que se caracteriza por la presencia de labio leporino y/o paladar hendido que dan lugar a problemas de alimentación, habla y audición causados por fallos durante el desarrollo.",TRUE
http://purl.obolibrary.org/obo/DOID_0050570,congenital disorder of glycosylation type I,A congenital disorder of glycosylation characterized by under-glycosylated serum glycoproteins.,http://purl.obolibrary.org/obo/DOID_0050570,trastorno congénito de la glicosilación tipo I,Trastorno congénito de la glicosilación caracterizado por glicoproteínas séricas infraglucosiladas.,TRUE
http://purl.obolibrary.org/obo/DOID_5212,congenital disorder of glycosylation,A carbohydrate metabolic disorder that involves deficient or defective glycosylation of a variety of tissue proteins and/or lipids.,http://purl.obolibrary.org/obo/DOID_5212,trastorno congénito de la glicosilación,Trastorno metabólico de los hidratos de carbono que implica una glicosilación deficiente o defectuosa de diversas proteínas y/o lípidos tisulares.,TRUE
http://purl.obolibrary.org/obo/DOID_0050571,congenital disorder of glycosylation type II,A congenital disorder of glycosylation that involves malfunctioning trimming or processing of the protein-bound oligosaccharide chain.,http://purl.obolibrary.org/obo/DOID_0050571,trastorno congénito de la glicosilación tipo II,Un trastorno congénito de la glicosilación que implica un mal funcionamiento del recorte o procesamiento de la cadena de oligosacáridos unida a la proteína.,TRUE
http://purl.obolibrary.org/obo/DOID_0050585,congenital generalized lipodystrophy,"A lipodystrophy that is characterized by extreme scarcity of subcutaneous fat, muscular hypertrophy, fatty liver, hypertriglyceremia and metabolic complications including insulin resistance.",http://purl.obolibrary.org/obo/DOID_0050585,lipodistrofia generalizada congénita,"Una lipodistrofia que se caracteriza por una escasez extrema de grasa subcutánea, hipertrofia muscular, hígado graso, hipertrigliceridemia y complicaciones metabólicas, incluida la resistencia a la insulina.",TRUE
http://purl.obolibrary.org/obo/DOID_0050588,muscular dystrophy-dystroglycanopathy type B1,"A congenital muscular dystrophy characterized by muscle weakness, cognitive impairment and brain abnormalities and has_material_basis_in mutation to the POMT1 gene that encodes O-mannosyltransferase.",http://purl.obolibrary.org/obo/DOID_0050588,distrofia muscular-distroglicanopatía tipo B1,"Una distrofia muscular congénita caracterizada por debilidad muscular, deterioro cognitivo y anomalías cerebrales y tiene_su_base_material_en mutación en el gen POMT1 que codifica la O-manosiltransferasa.",TRUE
http://purl.obolibrary.org/obo/DOID_0112375,muscular dystrophy-dystroglycanopathy type B,"A muscular dystrophy-dystroglycanopathy characterized by early onset of muscle weakness, intellectual disability in most cases, and variable presence of mild brain anomalies.",http://purl.obolibrary.org/obo/DOID_0112375,distrofia-distroglicanopatía muscular tipo B,"Una distrofia-distroglicanopatía muscular caracterizada por la aparición temprana de debilidad muscular, discapacidad intelectual en la mayoría de los casos y presencia variable de anomalías cerebrales leves.",TRUE
http://purl.obolibrary.org/obo/DOID_0050590,severe congenital neutropenia,A neutropenia characterized by a maturation arrest of granulopoiesis at the level or promyelocytes and early onset of severe bacterial infections.,http://purl.obolibrary.org/obo/DOID_0050590,neutropenia congénita grave,Una neutropenia caracterizada por una detención de la maduración de la granulopoyesis a nivel de los promielocitos y la aparición precoz de infecciones bacterianas graves.,TRUE
http://purl.obolibrary.org/obo/DOID_0050593,primary congenital glaucoma,"A glaucoma that is characterized by damage to the optic nerves that reduces peripheral vision and leads to blindness, has_material_basis_in mutation in the MYOC gene and appears before the age of 5 without other associated abnormalities.",http://purl.obolibrary.org/obo/DOID_0050593,glaucoma congénito primario,"Un glaucoma que se caracteriza por daños en los nervios ópticos que reducen la visión periférica y conducen a la ceguera, tiene_su_base_material_en mutación en el gen MYOC y aparece antes de los 5 años sin otras anomalías asociadas.",TRUE
http://purl.obolibrary.org/obo/DOID_0050651,atrioventricular septal defect,"A congenital heart septal defect characterized by an abnormal or inadequate fusion of the superior and inferior endocardial cushions with the mid portion of the atrial septum and the muscular portion of the ventricular septum, thus allowing extra blood to circulate the lungs.",http://purl.obolibrary.org/obo/DOID_0050651,comunicación interauricular,"Defecto congénito del tabique cardiaco caracterizado por una fusión anormal o inadecuada de los cojines endocárdicos superior e inferior con la porción media del tabique auricular y la porción muscular del tabique ventricular, lo que permite que la sangre sobrante circule por los pulmones.",TRUE
http://purl.obolibrary.org/obo/DOID_1681,heart septal defect,NA,http://purl.obolibrary.org/obo/DOID_1681,defecto septal cardíaco,NA,TRUE
http://purl.obolibrary.org/obo/DOID_0050663,Bethlem myopathy,"A congenital muscular dystrophy that is characterized by myopathy and joint contractures that progresses slowly, has_material_basis_in autosomal dominant inheritance of heterozygous mutation in the COL6A1 gene, the COL6A2 gene, or the COL6A3 gene.",http://purl.obolibrary.org/obo/DOID_0050663,miopatía de Bethlem,"Una distrofia muscular congénita que se caracteriza por miopatía y contracturas articulares que progresa lentamente, tiene_su_base_material_en una herencia autosómica dominante de mutación heterocigótica en el gen COL6A1,el gen COL6A2 o el gen COL6A3.",TRUE
http://purl.obolibrary.org/obo/DOID_0050674,congenital bile acid synthesis defect,A steroid inherited metabolic disorder characterized by abnormal conversion of cholesterol into bile acids which occurs predominantly in the liver.,http://purl.obolibrary.org/obo/DOID_0050674,defecto congénito de la síntesis de ácidos biliares,Trastorno metabólico heredado de los esteroides caracterizado por una conversión anormal del colesterol en ácidos biliares que se produce predominantemente en el hígado.,TRUE
http://purl.obolibrary.org/obo/DOID_0050734,congenital intrinsic factor deficiency,A vitamin B12 deficiency that is characterized by megaloblastic anemia due to the absence of gastric intrinsic factor which results in abnormal vitamin B12 absorption.,http://purl.obolibrary.org/obo/DOID_0050734,deficiencia congénita del factor intrínseco,Deficiencia de vitamina B12 que se caracteriza por una anemia megaloblástica debida a la ausencia del factor intrínseco gástrico que provoca una absorción anormal de la vitamina B12.,TRUE
http://purl.obolibrary.org/obo/DOID_10907,microcephaly,A congenital nervous system abnormality that is characterized by a significantly smaller than normal head in infants.,http://purl.obolibrary.org/obo/DOID_10907,microcefalia,Anomalía congénita del sistema nervioso que se caracteriza por una cabeza significativamente más pequeña de lo normal en los bebés.,TRUE
http://purl.obolibrary.org/obo/DOID_0050811,congenital adrenal hyperplasia,A steroid inherited metabolic disorder that is characterized by adrenal insufficiency and variable degrees of hyper or hypo androgeny manifestations resulting from steroidogenic enzyme deficiency.,http://purl.obolibrary.org/obo/DOID_0050811,hiperplasia suprarrenal congénita,Trastorno metabólico heredado de esteroides que se caracteriza por insuficiencia suprarrenal y grados variables de manifestaciones de hiper o hipoandrogenia resultantes de la deficiencia de enzimas esteroidogénicas.,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,spondyloepiphyseal dysplasia with congenital joint dislocations,"A spondyloepiphyseal dysplasia that is characterized by short stature of prenatal onset, joint dislocations (knees, hips, radial heads), club feet, and limitation of range of motion that can involve all large joints.",http://purl.obolibrary.org/obo/DOID_0050813,displasia espondiloepifisaria con luxaciones articulares congénitas,"Una displasia espondiloepifisaria que se caracteriza por baja estatura de inicio prenatal, luxaciones articulares (rodillas, caderas, cabezas radiales), pies zambos y limitación de la amplitud de movimiento que puede afectar a todas las grandes articulaciones.",TRUE
http://purl.obolibrary.org/obo/DOID_0060259,renal-hepatic-pancreatic dysplasia,"A physical disorder characterized by pancreatic fibrosis, renal dysplasia and hepatic dysgenesis; it is usual fatal soon after birth.",http://purl.obolibrary.org/obo/DOID_0060259,displasia renal-hepática-pancreática,"Trastorno físico caracterizado por fibrosis pancreática, displasia renal y disgenesia hepática ;que suele ser mortal poco después del nacimiento.",TRUE
http://purl.obolibrary.org/obo/DOID_0060261,congenital ptosis,A ptosis characterized by eyelid drop present at birth.,http://purl.obolibrary.org/obo/DOID_0060261,ptosis congénita,Una ptosis caracterizada por la caída del párpado presente al nacer.,TRUE
http://purl.obolibrary.org/obo/DOID_0060285,parietal foramina,"An inherited neural tube defect that is characterized by enlarged openings in the parietal bones of the skull, has_material_basis_in mutation in the ALX4 gene or MSX2 gene.",http://purl.obolibrary.org/obo/DOID_0060285,forámenes parietales,"Defecto hereditario del tubo neural que se caracteriza por aberturas agrandadas en los huesos parietales del cráneo, tiene_su_base_material_en la mutación del gen ALX4 o del gen MSX2.",TRUE
http://purl.obolibrary.org/obo/DOID_0080074,neural tube defect,A physical disorder characterized by incomplete closure of the neural tube.,http://purl.obolibrary.org/obo/DOID_0080074,defecto del tubo neural,Trastorno físico caracterizado por el cierre incompleto del tubo neural.,TRUE
http://purl.obolibrary.org/obo/DOID_0060296,congenital secretory chloride diarrhea 1,A secretory diarrhea that has_material_basis_in mutation in the SLC26A3 gene.,http://purl.obolibrary.org/obo/DOID_0060296,diarrea secretoria congénita de cloruro 1,Una diarrea secretoria que tiene_su_base_material_en mutación en el gen SLC26A3.,TRUE
http://purl.obolibrary.org/obo/DOID_0060326,myelomeningocele,"A spina bifida characterized by protrusion of the spinal cord through an opening, covered by meningeal membranes.",http://purl.obolibrary.org/obo/DOID_0060326,mielomeningocele,"espina bífida caracterizada por la protrusión de la médula espinal a través de una abertura, cubierta por membranas meníngeas.",TRUE
http://purl.obolibrary.org/obo/DOID_0080016,spina bifida,A neural tube defect that is characterized by incomplete closing of the spine and membranes around the spinal cord during early development.,http://purl.obolibrary.org/obo/DOID_0080016,espina bífida,Defecto del tubo neural que se caracteriza por el cierre incompleto de la columna vertebral y las membranas que rodean la médula espinal durante el desarrollo temprano.,TRUE
http://purl.obolibrary.org/obo/DOID_0060327,omphalocele,"A physical disorder characterized by a defect in the development of the abdominal wall muscles, resulting in the intestines, liver and other organs to remain outside of the abdomen in a sac.",http://purl.obolibrary.org/obo/DOID_0060327,onfalocele,"Trastorno físico caracterizado por un defecto en el desarrollo de los músculos de la pared abdominal, que provoca que los intestinos, el hígado y otros órganos queden fuera del abdomen en una bolsa.",TRUE
http://purl.obolibrary.org/obo/DOID_0060341,agnathia-otocephaly complex,"A physical disorder characterized by mandibular hypoplasia or agnathia, ventromedial auricular malposition (melotia) and/or auricular fusion (synotia), and microstomia with oroglossal hypoplasia or aglossia. Holoprosencephaly is the most commonly identified association, but skeletal, genitourinary and cardiovascular anomalies and situs inversus have been reported.",http://purl.obolibrary.org/obo/DOID_0060341,complejo de agnatia-otocefalia,"Trastorno físico caracterizado por hipoplasia mandibular o agnatia, malposición auricular ventromedial (melotia) y/o fusión auricular (sinotia), y microstomía con hipoplasia oroglosal o aglosia. La holoprosencefalia es la asociación más comúnmente identificada, pero se han notificado anomalías esqueléticas, genitourinarias y cardiovasculares y situs inversus.",TRUE
http://purl.obolibrary.org/obo/DOID_0060445,congenital stromal corneal dystrophy,A stromal dystrophy that is characterized by the presence of bilateral corneal opacities that can be seen at or shortly after birth.,http://purl.obolibrary.org/obo/DOID_0060445,distrofia corneal estromal congénita,Una distrofia estromal que se caracteriza por la presencia de opacidades corneales bilaterales que pueden observarse al nacer o poco después.,TRUE
http://purl.obolibrary.org/obo/DOID_0060558,lethal congenital contracture syndrome,"A syndrome characterized by congenital nonprogressive joint contractures. The contractures can involve the upper or lower limbs and/or the vertebral column, leading to various degrees of flexion or extension limitations evident at birth.",http://purl.obolibrary.org/obo/DOID_0060558,síndrome de contractura congénita letal,"Síndrome caracterizado por contracturas articulares congénitas no progresivas. Las contracturas pueden afectar a las extremidades superiores o inferiores y/o a la columna vertebral, dando lugar a diversos grados de limitaciones de flexión o extensión evidentes al nacer.",TRUE
http://purl.obolibrary.org/obo/DOID_0060559,lethal congenital contracture syndrome 1,A lethal congenital contracture syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the mRNA export mediator the GLE1 gene on chromosome 9q34.,http://purl.obolibrary.org/obo/DOID_0060559,síndrome de contractura congénita letal 1,Síndrome de contractura congénita letal que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el mediador de exportación de ARNm el gen GLE1 en el cromosoma 9q34.,TRUE
http://purl.obolibrary.org/obo/DOID_0060560,lethal congenital contracture syndrome 2,A lethal congenital contracture syndrome that can be that has_material_basis_in homozygous mutation in the ERBB3 gene on chromosome 12q13.,http://purl.obolibrary.org/obo/DOID_0060560,síndrome de contractura congénita letal 2,Un síndrome de contractura congénita letal que puede ser que tenga_base_material_en mutación homocigota en el gen ERBB3 en el cromosoma 12q13.,TRUE
http://purl.obolibrary.org/obo/DOID_0060563,Char syndrome,A patent ductus arteriosus with facial dysmorphism and abnormal fifth digits.,http://purl.obolibrary.org/obo/DOID_0060563,Síndrome de Char,Un conducto arterioso persistente con dismorfismo facial y quintos dígitos anormales.,TRUE
http://purl.obolibrary.org/obo/DOID_13832,patent ductus arteriosus,NA,http://purl.obolibrary.org/obo/DOID_13832,conducto arterioso persistente,NA,TRUE
http://purl.obolibrary.org/obo/DOID_0060613,X-linked cleft palate with or without ankyloglossia,A cleft palate that has_material_basis_in mutation in the TBX22 gene on chromosome Xq21.,http://purl.obolibrary.org/obo/DOID_0060613,Paladar hendido ligado al cromosoma X con o sin anquiloglosia,Un paladar hendido que tiene_su_base_material_en una mutación en el gen TBX22 del cromosoma Xq21.,TRUE
http://purl.obolibrary.org/obo/DOID_674,cleft palate,"An orofacial cleft characterized by a fissure of the soft and/or hard palate, due to faulty fusion of the two plates of the skull that form the hard palate.",http://purl.obolibrary.org/obo/DOID_674,paladar hendido,"Hendidura orofacial caracterizada por una fisura del paladar blando y/o duro, debida a una fusión defectuosa de las dos placas del cráneo que forman el paladar duro.",TRUE
http://purl.obolibrary.org/obo/DOID_0060638,neonatal diabetes mellitus with congenital hypothyroidism,"A neonatal diabetes that is characterized by intrauterine growth retardation, hypothyroidism and onset of nonimmune diabetes mellitus within the first few weeks of life, and that has_material_basis_in homozygous or compound heterozygous mutations in the GLIS3 gene on chromosome 9p24.",http://purl.obolibrary.org/obo/DOID_0060638,diabetes mellitus neonatal con hipotiroidismo congénito,"Una diabetes neonatal que se caracteriza por retraso del crecimiento intrauterino, hipotiroidismo y aparición de diabetes mellitus no inmunitaria en las primeras semanas de vida, y que tiene_su_base_material_en mutaciones homocigóticas o heterocigóticas compuestas en el gen GLIS3 del cromosoma 9p24.",TRUE
http://purl.obolibrary.org/obo/DOID_0060646,congenital chylothorax,"A pleural disease characterized by the accumulation of chyle within the pleural space leading to respiratory distress, malnutrition and immunological compromise, either immediately after birth or within the first few weeks of life.",http://purl.obolibrary.org/obo/DOID_0060646,quilotórax congénito,"Enfermedad pleural caracterizada por la acumulación de quilo en el espacio pleural que provoca dificultad respiratoria, desnutrición y compromiso inmunológico, ya sea inmediatamente después del nacimiento o en las primeras semanas de vida.",TRUE
http://purl.obolibrary.org/obo/DOID_0060649,congenital hereditary endothelial dystrophy of cornea,"A corneal endothelial dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the SLC4A11 gene, which encodes a sodium borate cotransporter, on chromosome 20p13 and is characterized by thickening and opacification of the cornea, altered morphology of the endothelium, and secretion of an abnormal collagenous layer at the Descemet membrane.",http://purl.obolibrary.org/obo/DOID_0060649,distrofia endotelial hereditaria congénita de la córnea,"Una distrofia endotelial de la córnea que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen SLC4A11,que codifica un cotransportador de borato de sodio, en el cromosoma 20p13 y se caracteriza por el engrosamiento y la opacificación de la córnea, la morfología alterada del endotelio y la secreción de una capa colágena anormal en la membrana de Descemet.",TRUE
http://purl.obolibrary.org/obo/DOID_0060653,lethal congenital contracture syndrome 3,A lethal congenital contracture syndrome that has_material_basis_in homozygous mutation in the PIP5K1C gene on chromosome 19p13.,http://purl.obolibrary.org/obo/DOID_0060653,síndrome de contractura congénita letal 3,Un síndrome de contractura congénita letal que tiene_su_base_material_en una mutación homocigota en el gen PIP5K1C del cromosoma 19p13.,TRUE
http://purl.obolibrary.org/obo/DOID_0060654,lethal congenital contracture syndrome 4,A lethal congenital contracture syndrome that has_material_basis_in homozygous mutation in the MYBPC1 gene on chromosome 12q23.,http://purl.obolibrary.org/obo/DOID_0060654,síndrome de contractura congénita letal 4,Un síndrome de contractura congénita letal que tiene_su_base_material_en una mutación homocigota en el gen MYBPC1 del cromosoma 12q23.,TRUE
http://purl.obolibrary.org/obo/DOID_0060655,autosomal recessive congenital ichthyosis,An ichthyosis that is characterized by autosomal recessive inheritance and abnormal skin scaling over the whole body due to a defect in keratinization.,http://purl.obolibrary.org/obo/DOID_0060655,ictiosis congénita autosómica recesiva,Ictiosis que se caracteriza por una herencia autosómica recesiva y una descamación anormal de la piel de todo el cuerpo debida a un defecto en la queratinización.,TRUE
http://purl.obolibrary.org/obo/DOID_0060656,autosomal recessive congenital ichthyosis 1,"An autosomal recessive congenital ichthyosis that is characterized by lamellar ichthyosis, ectropion, eclabium and hyperkeratosis that has_material_basis_in homozygous or compound heterozygous mutation in the TGM1 gene on chromosome 14q11.2.",http://purl.obolibrary.org/obo/DOID_0060656,ictiosis congénita autosómica recesiva 1,"Una ictiosis congénita autosómica recesiva que se caracteriza por ictiosis lamelar, ectropión, eclabio e hiperqueratosis que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen TGM1 del cromosoma 14q11.2.",TRUE
http://purl.obolibrary.org/obo/DOID_0060668,anencephaly,"A congenital nervous system abnormality characterized by failure of the anterior neuropore to close resulting in partial or complete absence of the cranial vault accompanied by absence of overlying tissues, including the brain and cerebral hemispheres, skull and scalp.",http://purl.obolibrary.org/obo/DOID_0060668,anencefalia,"Anomalía congénita del sistema nervioso caracterizada por un fallo en el cierre del neuróporo anterior que provoca la ausencia parcial o completa de la bóveda craneal acompañada de la ausencia de los tejidos suprayacentes, incluidos el cerebro y los hemisferios cerebrales, el cráneo y el cuero cabelludo.",TRUE
http://purl.obolibrary.org/obo/DOID_0060710,autosomal recessive congenital ichthyosis 2,"An autosomal recessive congenital ichthyosis characterized by fine scales on the scalp, face, trunk and limbs, marked palmoplantar hyperlinearity, hyperkeratosis, acanthosis, mild hypergranulosis and thickened stratum corneum that has_material_basis_in homozygous or compound heterozygous mutation in the ALOX12B gene on chromosome 17p13.",http://purl.obolibrary.org/obo/DOID_0060710,ictiosis congénita autosómica recesiva 2,"Una ictiosis congénita autosómica recesiva caracterizada por escamas finas en el cuero cabelludo, la cara, el tronco y las extremidades, hiperlinearidad palmoplantar marcada, hiperqueratosis, acantosis, hipergranulosis leve y estrato córneo engrosado que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ALOX12B del cromosoma 17p13.",TRUE
http://purl.obolibrary.org/obo/DOID_0060711,autosomal recessive congenital ichthyosis 3,"An autosomal recessive congenital ichthyosis characterized by mild ichthyosis, fine scales on the scalp, face, trunk and limbs, dark brown adherent scales on the neck, elbow and knees, and hypohydrosis that has_material_basis_in homozygous or compound heterozygous mutation in the ALOXE3 gene on chromosome 17p13.",http://purl.obolibrary.org/obo/DOID_0060711,ictiosis congénita autosómica recesiva 3,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis leve, escamas finas en el cuero cabelludo, la cara, el tronco y las extremidades, escamas adherentes de color marrón oscuro en el cuello, el codo y las rodillas, e hipohidrosis que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ALOXE3 del cromosoma 17p13.",TRUE
http://purl.obolibrary.org/obo/DOID_0060712,autosomal recessive congenital ichthyosis 4A,An autosomal recessive congenital ichthyosis characterized by generalized ichthyosis and ectropion that has_material_basis_in homozygous or compound heterozygous mutation in the ABCA12 gene on chromosome 2q35.,http://purl.obolibrary.org/obo/DOID_0060712,ictiosis congénita autosómica recesiva 4A,Una ictiosis congénita autosómica recesiva caracterizada por ictiosis generalizada y ectropión que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ABCA12 del cromosoma 2q35.,TRUE
http://purl.obolibrary.org/obo/DOID_0060713,autosomal recessive congenital ichthyosis 4B,"An autosomal recessive congenital ichthyosis characterized by severe neonatal ichthyosis with bilateral ectropion and eclabium, flattened and rudimentary nose and ears, constricting bands around the extremities and frequently lethality during infancy that has_material_basis_in homozygous or compound heterozygous mutation in the ABCA12 gene on chromosome 2q35.",http://purl.obolibrary.org/obo/DOID_0060713,ictiosis congénita autosómica recesiva 4B,"Una ictiosis congénita autosómica recesiva caracterizada por ictiosis neonatal grave con ectropión y eclabio bilaterales, nariz y orejas aplanadas y rudimentarias, bandas constrictivas alrededor de las extremidades y con frecuencia letal durante la infancia que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen ABCA12 del cromosoma 2q35.",TRUE
